sub2	tbasej2	lap1_32	lap1_33	cur1_32	cur1_33	rp2431	rp3445
		0.168973	0.118299	0.0140267	0.0166322		
		0.170092	0.118287	0.015069	0.0177912		
		0.171221	0.118275	0.0138583	0.0179356		
		0.172358	0.118263	0.0121998	0.0168082		
		0.173504	0.11825	0.0144644	0.018133		
		0.174663	0.118237	0.0144004	0.0176588		
		0.175834	0.118223	0.0118187	0.01609		
		0.177014	0.118211	0.0128454	0.0190114		
		0.178206	0.118198	0.0152107	0.0181897		
		0.179407	0.118186	0.015558	0.0193387		
		0.180619	0.118175	0.0146589	0.017796		
		0.181841	0.118163	0.013279	0.0179828		
		0.183073	0.118152	0.0123478	0.0173432		
		0.184314	0.11814	0.0129676	0.0179716		
		0.185565	0.11813	0.0156513	0.0182158		
		0.186825	0.118119	0.014905	0.0171558		
		0.188094	0.118109	0.0142428	0.0198494		
		0.189372	0.118098	0.0154486	0.0190706		
		0.190659	0.118088	0.0165807	0.0171657		
		0.191955	0.118076	0.013853	0.0182862		
		0.193261	0.118065	0.0158468	0.0174393		
		0.194576	0.118053	0.0160068	0.020258		
		0.195901	0.11804	0.0144432	0.0207855		
		0.197235	0.118029	0.0158562	0.0184782		
		0.198574	0.11802	0.013031	0.0180658		
		0.199919	0.11801	0.013445	0.0187814		
		0.20127	0.118	0.012696	0.0170066		
		0.202627	0.117991	0.0141066	0.0132074		
		0.203987	0.11798	0.0149236	0.0181709		
		0.205352	0.117969	0.0165122	0.0179045		
		0.206722	0.117957	0.0175694	0.0177549		
		0.208096	0.117947	0.015461	0.0158653		
		0.209474	0.117935	0.0158306	0.015707		
		0.210856	0.117925	0.0132181	0.0187507		
		0.212242	0.117913	0.0123573	0.0172762		
		0.213633	0.117901	0.0149589	0.018673		
		0.215027	0.11789	0.0139747	0.0181981		
		0.216424	0.117877	0.0128198	0.0162772		
		0.217827	0.117867	0.0142145	0.020716		
		0.219232	0.117857	0.0164476	0.0191895		
		0.220642	0.117846	0.013914	0.015984		
		0.222054	0.117834	0.0140635	0.0153325		
		0.22347	0.117822	0.0154636	0.0199643		
		0.224887	0.117811	0.0145853	0.0179168		
		0.226307	0.117799	0.0137135	0.0186282		
		0.22773	0.117787	0.014819	0.0167382		
		0.229153	0.117773	0.0154734	0.0162342		
		0.230575	0.117762	0.0138874	0.0174987		
		0.231998	0.117751	0.0155687	0.016999		
		0.233421	0.117742	0.0149856	0.0177056		
		0.234845	0.117732	0.014479	0.0167131		
		0.23627	0.117721	0.0141789	0.0163033		
		0.237696	0.117712	0.0138774	0.016389		
		0.239122	0.117703	0.0130019	0.0213634		
		0.240547	0.117692	0.0153542	0.0161631		
		0.241974	0.117684	0.0142442	0.0166876		
		0.243399	0.117675	0.0147694	0.0191973		
		0.24482	0.117665	0.0142014	0.0188819		
		0.246239	0.117653	0.014475	0.0190657		
		0.247652	0.11764	0.0148442	0.0184148		
		0.249062	0.117627	0.0146965	0.0172518		
		0.250468	0.117613	0.0125256	0.0177235		
		0.251871	0.117599	0.01259	0.0179268		
		0.253268	0.117585	0.012629	0.0158362		
		0.254661	0.117569	0.0137135	0.0172999		
		0.256049	0.117555	0.0144147	0.0171878		
		0.257434	0.117539	0.0153476	0.0186578		
		0.258812	0.117524	0.0163155	0.0170732		
		0.260184	0.11751	0.0149937	0.0198299		
		0.261549	0.117496	0.0137164	0.0185967		
		0.26291	0.117482	0.0117379	0.0177804		
		0.264266	0.11747	0.0137353	0.0176229		
		0.265615	0.117458	0.0135295	0.0182246		
		0.266957	0.117447	0.0150632	0.0177342		
		0.268293	0.117438	0.0156478	0.0191749		
		0.269622	0.117429	0.0143295	0.0185212		
		0.270943	0.117421	0.0166071	0.0174919		
		0.272257	0.117414	0.0138155	0.0182024		
		0.273566	0.117407	0.0140372	0.0162759		
		0.274865	0.117399	0.013221	0.015885		
		0.276155	0.117393	0.0140497	0.0164961		
		0.277435	0.117387	0.0144303	0.0162683		
		0.278709	0.117378	0.015505	0.0183177		
		0.279973	0.117371	0.017878	0.0168567		
		0.281229	0.117366	0.0140803	0.0172693		
		0.282476	0.117361	0.0160922	0.0184948		
		0.283716	0.117354	0.0154119	0.017844		
		0.284947	0.117349	0.0150736	0.0184392		
		0.286169	0.117346	0.016277	0.0183036		
		0.287381	0.117343	0.015844	0.0192174		
		0.288581	0.117341	0.0133674	0.0177046		
		0.289773	0.117341	0.0133122	0.0156982		
		0.290955	0.117338	0.0137106	0.0169171		
		0.292127	0.117337	0.0150551	0.0188464		
		0.293287	0.117335	0.0160539	0.0155479		
		0.294437	0.117335	0.0140985	0.0191102		
		0.295578	0.117337	0.0155565	0.0151145		
		0.296707	0.117338	0.0146714	0.0173236		
		0.297826	0.11734	0.016813	0.0179751		
		0.298934	0.117341	0.0145765	0.0165402		
		0.300032	0.117344	0.0150776	0.0205364		
		0.301119	0.117348	0.0159228	0.0171706		
		0.302194	0.117352	0.0145477	0.0181941		
		0.303259	0.117355	0.0148342	0.0179285		
		0.304312	0.117358	0.0160135	0.0183843		
		0.305355	0.11736	0.0124088	0.0189466		
		0.306382	0.117364	0.015448	0.0170034		
		0.307393	0.117369	0.0147209	0.0185252		
		0.308389	0.117372	0.013746	0.0185744		
		0.30937	0.117374	0.0141801	0.0166652		
		0.310337	0.117376	0.0156217	0.0188491		
		0.31129	0.117379	0.0152777	0.0184186		
		0.312227	0.117381	0.014726	0.0168499		
		0.31315	0.117385	0.0127295	0.0174511		
		0.314057	0.117388	0.0133112	0.0155733		
		0.314949	0.11739	0.01441	0.0187878		
		0.315828	0.117393	0.0163731	0.0204308		
		0.316693	0.117397	0.0152324	0.0188691		
		0.317542	0.1174	0.015307	0.0187987		
		0.318375	0.117402	0.016368	0.0182227		
		0.319193	0.117405	0.0167649	0.019756		
		0.319993	0.117408	0.0151381	0.0170425		
		0.320779	0.117411	0.0153818	0.0187029		
		0.321547	0.117415	0.0148514	0.0186093		
		0.322301	0.117417	0.0144944	0.0174351		
		0.323041	0.117418	0.0135845	0.0167266		
		0.323769	0.11742	0.0149002	0.0196628		
		0.324484	0.117421	0.0161966	0.0166492		
		0.325184	0.117423	0.0130375	0.0172225		
		0.32587	0.117424	0.0155662	0.0155129		
		0.326542	0.117427	0.0159056	0.0174023		
		0.327199	0.117429	0.0157051	0.019005		
		0.327844	0.117432	0.0165685	0.0202301		
		0.328475	0.117434	0.0165073	0.0197286		
		0.329093	0.117436	0.0149721	0.015385		
		0.329693	0.11744	0.011435	0.0171603		
		0.330279	0.117444	0.0144504	0.0145983		
		0.330847	0.117448	0.0144187	0.0179593		
		0.331401	0.117452	0.0155468	0.0198322		
		0.331938	0.117455	0.0123893	0.017035		
		0.33246	0.117458	0.0177718	0.0172291		
		0.332967	0.117462	0.012146	0.0185249		
		0.333461	0.117467	0.0129324	0.0178889		
		0.333941	0.117473	0.0186735	0.0194759		
		0.334407	0.117478	0.0153603	0.0196227		
