sub1	tbasej	rp25b	rp610	rp56	jlap1_5	cur1_5
					0.160199	0.0153704
					0.160453	0.0143818
					0.159577	0.0135538
					0.159056	0.0143183
					0.161451	0.0145994
					0.157929	0.0167068
					0.156348	0.0151868
					0.167898	0.0153178
					0.167613	0.0127446
					0.168661	0.0135885
					0.167701	0.0138362
					0.168387	0.0151128
					0.168638	0.016245
					0.168684	0.0156497
					0.16583	0.0160768
					0.167166	0.0157164
					0.168841	0.0152275
					0.168947	0.0143905
					0.169526	0.0148396
					0.16939	0.013918
					0.168757	0.0153033
					0.170241	0.0133245
					0.170822	0.0151919
					0.169264	0.0130046
					0.185564	0.0141221
					0.184576	0.0160633
					0.182627	0.012965
					0.183568	0.0123859
					0.18595	0.0147766
					0.185154	0.0129745
					0.18681	0.016215
					0.184704	0.0135076
					0.188026	0.0158299
					0.193251	0.0133544
					0.193869	0.0124454
					0.191964	0.0151513
					0.194924	0.0144655
					0.18583	0.0134471
					0.184761	0.0140251
					0.1985	0.0162004
					0.190883	0.0142939
					0.199308	0.0131335
					0.193088	0.0157509
					0.19091	0.0125395
					0.189687	0.0130112
					0.188409	0.0134399
					0.19671	0.0123647
					0.200083	0.0128091
					0.198388	0.014058
					0.20668	0.013169
					0.20177	0.0135177
					0.200973	0.0140618
					0.207509	0.0129844
					0.202976	0.0128903
					0.207361	0.0154229
					0.209367	0.0125433
					0.206485	0.0145133
					0.221366	0.0130757
					0.213779	0.0146617
					0.222714	0.0149869
					0.210567	0.0149886
					0.206118	0.0124526
					0.213174	0.0124631
					0.207387	0.0112723
					0.217228	0.014575
					0.207645	0.0137813
					0.211166	0.0147779
					0.205589	0.0126849
					0.215109	0.0151343
					0.218873	0.0162007
					0.215278	0.0134205
					0.205129	0.0141873
					0.209402	0.013108
					0.223705	0.01381
					0.217897	0.0133374
					0.221729	0.0153476
					0.216232	0.0189221
					0.227965	0.0152323
					0.215602	0.0144617
					0.219975	0.0152828
					0.21699	0.0151304
					0.216545	0.0123976
					0.207535	0.0138655
					0.220189	0.0132457
					0.237134	0.0145457
					0.236373	0.0126668
					0.22974	0.0143574
					0.241054	0.016412
					0.235602	0.0161959
					0.237432	0.0124232
					0.239377	0.015064
					0.233949	0.0170552
					0.232309	0.0157957
					0.241874	0.0115265
					0.246167	0.0147297
					0.244304	0.0158292
					0.241767	0.0140112
					0.244616	0.0141687
					0.247509	0.0155876
					0.23225	0.0162991
					0.235991	0.0128669
					0.232677	0.0142241
					0.238167	0.0143233
					0.235985	0.0130346
					0.242002	0.0147741
					0.249956	0.013353
					0.237434	0.0139347
					0.247345	0.0136676
					0.24011	0.0154488
					0.239962	0.0137716
					0.238891	0.0146317
					0.249264	0.0141472
					0.241366	0.0123613
					0.24053	0.0159849
					0.23999	0.0141444
					0.236016	0.0129309
					0.247903	0.013708
					0.236055	0.0119352
					0.240074	0.0150232
					0.234659	0.0127066
					0.242158	0.0162154
					0.245928	0.014005
					0.243371	0.0141292
					0.240357	0.0148151
					0.243408	0.0133491
					0.239782	0.0141175
					0.237869	0.0120998
					0.252	0.0158839
					0.253433	0.0147321
					0.243612	0.0134075
					0.246512	0.012296
					0.261385	0.0123306
					0.257488	0.0151321
					0.249009	0.0112193
					0.253542	0.0134683
					0.250272	0.0152553
					0.245134	0.0125678
					0.252874	0.0124495
					0.241388	0.0134652
					0.250291	0.0153588
					0.253611	0.0149774
					0.254897	0.0147408
					0.248089	0.0134472
					0.245529	0.0128113
					0.247229	0.0156764
					0.256434	0.0130936
					0.248382	0.0144521
					0.254209	0.0163159
					0.258995	0.0118432
					0.241712	0.0119505
					0.243865	0.012099
					0.255189	0.0130723
					0.25464	0.0132263
					0.251159	0.0133928
					0.256833	0.0136721
					0.261948	0.0137192
					0.245273	0.01375
					0.244284	0.0140833
					0.256406	0.0137666
					0.245254	0.0143267
					0.23582	0.0165714
					0.253792	0.0170464
					0.234922	0.0129449
