sub2	tbasej2	rp2837	rp4150b	cur2_38	cur2_39	lap2_38	lap2_39
				0.0117437	0.0165061	0.200188	0.338234
				0.014699	0.0170188	0.200363	0.339106
				0.0157929	0.0164498	0.200532	0.339971
				0.0136308	0.0171493	0.200698	0.340827
				0.0141645	0.0161634	0.200859	0.341673
				0.0139872	0.0143796	0.201015	0.342511
				0.0143432	0.0172805	0.201166	0.343339
				0.0143077	0.0168185	0.201313	0.344157
				0.0133504	0.0185311	0.201454	0.344963
				0.0147884	0.018327	0.201592	0.34576
				0.0157144	0.0174398	0.201726	0.346547
				0.0150809	0.0175033	0.201857	0.347326
				0.0168262	0.018913	0.201984	0.348097
				0.0143073	0.0192903	0.202107	0.348857
				0.0149555	0.0179587	0.202228	0.349608
				0.0170297	0.0187383	0.202345	0.35035
				0.0150163	0.0172855	0.202459	0.351084
				0.013957	0.0199936	0.202571	0.351809
				0.0157131	0.0179912	0.202681	0.352522
				0.0163463	0.0174263	0.202788	0.353225
				0.0146621	0.0190034	0.202892	0.353919
				0.0134076	0.016138	0.202994	0.354601
				0.0152023	0.017544	0.203094	0.355274
				0.0136194	0.0184834	0.203191	0.355937
				0.0138998	0.0178217	0.203286	0.356591
				0.0144614	0.0197919	0.203379	0.357235
				0.0144472	0.0176855	0.20347	0.357869
				0.0153298	0.0181846	0.203557	0.358492
				0.0156278	0.0172654	0.203642	0.359102
				0.014687	0.0174334	0.203724	0.359701
				0.0146272	0.0193576	0.203802	0.360287
				0.0151512	0.0186579	0.203877	0.360862
				0.0159091	0.0189503	0.203947	0.361423
				0.0161366	0.0178132	0.204014	0.361972
				0.0148915	0.0183773	0.204078	0.362511
				0.0146379	0.0176077	0.20414	0.36304
				0.0145125	0.0178132	0.204201	0.363556
				0.014311	0.0176718	0.204259	0.364062
				0.0142376	0.0141695	0.204313	0.364557
				0.0125549	0.0180498	0.204365	0.365041
				0.0162715	0.0169408	0.204416	0.365515
				0.0172238	0.0188359	0.204462	0.365978
				0.0163703	0.0165088	0.204506	0.366431
				0.0167719	0.0198159	0.204547	0.366873
				0.0149269	0.0168659	0.204586	0.367305
				0.0157435	0.0152928	0.204623	0.367726
				0.0159162	0.0169716	0.204657	0.368137
				0.0152325	0.0156064	0.20469	0.368537
