jlap1_34	jlap1_35	cur1_34	cur1_35
0.289159	0.161401	0.0140821	0.0116945
0.292306	0.164077	0.0125956	0.0153834
0.287974	0.15898	0.0103511	0.0134766
0.285479	0.15527	0.0130098	0.0137762
0.296822	0.160973	0.013742	0.0145068
0.289504	0.168842	0.0122014	0.0140918
0.290053	0.156621	0.0124151	0.0153815
0.286608	0.159104	0.0133346	0.0155066
0.281436	0.160534	0.0120211	0.0138267
0.301772	0.161845	0.0116015	0.0148585
0.290618	0.159952	0.0117574	0.0127881
0.284241	0.156289	0.0133573	0.0145428
0.297027	0.160342	0.0132149	0.0133331
0.293115	0.163784	0.0141731	0.0117867
0.289717	0.153399	0.0141493	0.0125399
0.29005	0.152553	0.0114936	0.0149681
0.283552	0.156907	0.0128128	0.0145003
0.290036	0.158112	0.0134529	0.0141943
0.286581	0.15886	0.0133201	0.0153121
0.290673	0.159185	0.0118614	0.0175063
0.292356	0.163338	0.0097124	0.0162421
0.290288	0.167645	0.0142483	0.015108
0.297524	0.160079	0.0127974	0.0174927
0.289368	0.168382	0.00887013	0.0174936
0.295924	0.157319	0.0106037	0.0128479
0.282637	0.162928	0.0136426	0.0184583
0.290844	0.162359	0.013583	0.0149197
0.285396	0.148925	0.0133176	0.015064
0.281917	0.149766	0.012425	0.0154249
0.292226	0.14977	0.0128894	0.0135938
0.282576	0.164952	0.0112035	0.0146851
0.283862	0.166477	0.0132043	0.0134588
0.287764	0.152308	0.0111401	0.0139738
0.294518	0.16339	0.0108031	0.0141582
0.288376	0.152495	0.0140512	0.0148171
0.292018	0.157746	0.0120275	0.0148811
0.280283	0.169508	0.00954555	0.0157078
0.28744	0.15623	0.0124978	0.0159535
0.292569	0.156678	0.0119271	0.0145502
0.275769	0.156444	0.0125965	0.0130038
0.288826	0.156874	0.0112615	0.0144095
0.296544	0.164937	0.0128004	0.0149221
0.275165	0.158403	0.0134763	0.0158863
0.290912	0.161882	0.0134385	0.0163859
0.291354	0.161806	0.0128984	0.0149191
0.285712	0.16302	0.0124154	0.012187
0.289212	0.158064	0.0107483	0.013761
0.287465	0.164441	0.0133354	0.0128299
0.277011	0.156992	0.0129241	0.0142524
0.289091	0.148562	0.014027	0.0136828
0.296994	0.154357	0.0130002	0.0159452
0.298996	0.157246	0.0128052	0.0155334
0.286177	0.157612	0.0118997	0.0157876
0.292031	0.16296	0.0117083	0.0148854
0.286785	0.160704	0.012518	0.0148902
0.274472	0.155507	0.0134426	0.0141465
0.292363	0.160163	0.0116709	0.0180264
0.302877	0.160462	0.00964773	0.0150509
0.295889	0.152677	0.010096	0.015691
0.297635	0.164445	0.013028	0.0160469
0.285787	0.151085	0.0110594	0.0127588
0.289792	0.151174	0.0128953	0.0158987
0.295194	0.160552	0.0125158	0.014679
0.296012	0.154186	0.0119845	0.0154152
0.286785	0.160986	0.0131013	0.0140026
0.289821	0.162864	0.0126161	0.0168076
0.292277	0.157613	0.0113737	0.0142293
0.289856	0.158906	0.0134198	0.0134707
