jlap1_35	jlap1_36	jlap1_42	jlap1_44	cur1_35	cur1_36	cur1_42	cur1_44
0.00798591	0.0188863	0.0327629	0.54505	-0.168544	-0.168113	-0.168022	-0.166825
0.0261922	0.0271614	0.0338208	0.550771	-0.168434	-0.166257	-0.168847	-0.167761
0.0257558	0.0143607	0.0336775	0.563091	-0.169485	-0.167419	-0.168098	-0.167504
0.0159345	0.0321993	0.0348622	0.552955	-0.171214	-0.167095	-0.169572	-0.166057
0.0290756	0.0162845	0.029082	0.578089	-0.168568	-0.167713	-0.169986	-0.16786
0.0269356	0.025487	0.0322396	0.573448	-0.168842	-0.16743	-0.169145	-0.167288
0.0297308	0.0272797	0.0401055	0.581505	-0.168418	-0.16938	-0.169251	-0.163897
0.0277538	0.0226918	0.0406568	0.587141	-0.169353	-0.166472	-0.168764	-0.166474
0.0151395	0.0177116	0.0355392	0.581848	-0.166966	-0.16789	-0.168854	-0.167933
0.01927	0.0187318	0.0395438	0.584177	-0.170101	-0.167661	-0.168518	-0.167588
0.0232797	0.0253979	0.0360049	0.583781	-0.171267	-0.169561	-0.170376	-0.168215
0.0230665	0.00959186	0.0370823	0.586074	-0.174077	-0.166778	-0.169715	-0.167301
0.0207013	0.0312613	0.0345111	0.618773	-0.170088	-0.166392	-0.170542	-0.167463
0.0175082	0.0205604	0.0313685	0.597591	-0.171838	-0.166017	-0.169217	-0.167093
0.0227193	0.0229896	0.0347614	0.614889	-0.170654	-0.167576	-0.168774	-0.165964
0.0153904	0.0239598	0.0421654	0.595596	-0.168902	-0.167751	-0.171389	-0.168196
0.0170205	0.0271775	0.0309119	0.615261	-0.170136	-0.166609	-0.170136	-0.166164
0.018996	0.0121825	0.0345989	0.607204	-0.168688	-0.165529	-0.170305	-0.167453
0.0230209	0.0270758	0.0427859	0.623069	-0.17003	-0.163395	-0.169552	-0.168796
0.018033	0.0368946	0.0409652	0.618831	-0.16828	-0.166328	-0.16882	-0.166159
0.0138308	0.0308996	0.047163	0.624713	-0.169733	-0.167921	-0.169313	-0.166525
0.0253037	0.0214691	0.039479	0.61761	-0.170424	-0.168372	-0.168033	-0.166486
0.0310653	0.018881	0.0452602	0.637998	-0.169559	-0.168873	-0.167394	-0.166659
0.0166461	0.0141647	0.0424117	0.638709	-0.169661	-0.16739	-0.168802	-0.167703
0.0100003	0.0222461	0.0510972	0.647263	-0.171041	-0.168926	-0.167116	-0.167349
0.0181549	0.015333	0.0461275	0.653955	-0.169897	-0.167469	-0.168075	-0.167654
0.0212425	0.0152172	0.0502927	0.640209	-0.170318	-0.166671	-0.169709	-0.167488
0.022259	0.0239808	0.0415353	0.644634	-0.170643	-0.169319	-0.169353	-0.168739
