sub2	tbasej2	rp2033	rp3664b	rp3435	jlap1_34	jlap1_35	cur1_34	cur1_35	rp6778	rp6566	jlap1_65	jlap1_66	cur1_65	cur1_66
					0.278784	0.181931	0.0128835	0.0171484			0.283573	0.254155	0.0121634	0.0132207
					0.299607	0.181038	0.0120044	0.0155432			0.271774	0.245364	0.0133578	0.0167474
					0.289795	0.192788	0.0112395	0.0156429			0.274094	0.256681	0.0112569	0.0151349
					0.285873	0.183269	0.0102518	0.016783			0.268374	0.254235	0.0124803	0.0159882
					0.296975	0.190375	0.0120404	0.0135125			0.272729	0.251504	0.0129848	0.0135198
					0.293613	0.181006	0.0131155	0.0158499			0.268169	0.245016	0.0104787	0.0140744
					0.304451	0.180717	0.0138064	0.0160892			0.293911	0.253748	0.0105266	0.0120055
					0.294938	0.186948	0.0131464	0.0139463			0.282688	0.245662	0.0115687	0.0138603
					0.312497	0.180929	0.0138553	0.0135495			0.280571	0.262337	0.0123395	0.0157659
					0.288869	0.189245	0.0131844	0.0129007			0.270909	0.257184	0.0121771	0.0133507
					0.299698	0.190284	0.0127228	0.0134099			0.274925	0.264473	0.0133427	0.0145346
					0.299838	0.180276	0.0131661	0.0123532			0.28487	0.254712	0.0126223	0.0133418
					0.304255	0.183662	0.0141489	0.0147031			0.286353	0.248323	0.0127122	0.0122989
					0.291532	0.183871	0.0129398	0.0135928			0.276193	0.26355	0.0103356	0.0140663
					0.315001	0.178084	0.012476	0.013345			0.279487	0.267522	0.0113592	0.0128527
					0.318853	0.171855	0.0151774	0.012927			0.284198	0.262449	0.0111529	0.0148545
					0.328165	0.18806	0.00811079	0.016489			0.280592	0.254304	0.0128717	0.0147365
					0.310795	0.185225	0.0141958	0.0151694			0.290072	0.258268	0.012573	0.014745
					0.326204	0.178016	0.0124262	0.0160425			0.291713	0.249996	0.0111774	0.0137367
					0.309569	0.18671	0.0131289	0.0142087			0.290603	0.249621	0.0130406	0.0149607
					0.306163	0.183504	0.0105083	0.0168026			0.29122	0.257301	0.0137361	0.0165549
					0.31629	0.183148	0.0113359	0.0152702			0.28949	0.282236	0.0116424	0.0163333
					0.316855	0.176194	0.0124357	0.0153555			0.288067	0.268897	0.0143594	0.0124763
					0.313033	0.179623	0.0119858	0.0153105			0.28562	0.271934	0.0112638	0.0122989
					0.318359	0.166248	0.0141713	0.0135115			0.29508	0.278302	0.0132369	0.014072
					0.330263	0.173116	0.0134128	0.0136838			0.275444	0.278039	0.0114333	0.0156579
					0.317999	0.166686	0.0121737	0.0139081			0.277505	0.281549	0.0130216	0.0141077
					0.313497	0.15658	0.0134975	0.013189			0.285515	0.275107	0.0134685	0.0135234
					0.315728	0.163663	0.0128107	0.0153067			0.280448	0.272242	0.0108768	0.0141094
					0.303181	0.163317	0.0119549	0.0144958			0.289022	0.274481	0.0127816	0.0149796
					0.325121	0.164948	0.0135864	0.0147284			0.297732	0.280244	0.01345	0.0148887
