rp1214	rp2232	sub1	lap1_20_samp	lap1_19_samp	lap1_18_samp	lap1_17_samp	cur1_21_samp	cur1_20_samp	cur1_19_samp	cur1_18_samp	cur1_17_samp	lap1_21_samp
			0.174446	0.287629	0.361711	0.250625	-0.000749517	-0.000923657	-0.000848209	-0.000817326	-0.000982971	0.283463
			0.175651	0.2893	0.364337	0.252473	-0.000757268	-0.000885884	-0.000659739	-0.000916573	-0.000620792	0.285659
			0.176855	0.290971	0.366964	0.254321	-0.000677757	-0.000959379	-0.00101034	-0.000770574	-0.000858459	0.287853
			0.178059	0.292642	0.36959	0.256168	-0.000858786	-0.000976015	-0.000801308	-0.00102035	-0.000950808	0.289953
			0.179263	0.294313	0.372217	0.258016	-0.000686696	-0.000931843	-0.000641147	-0.000680757	-0.000755177	0.292032
			0.180468	0.295984	0.374843	0.259864	-0.000683307	-0.000979423	-0.000846969	-0.000791288	-0.000972191	0.294112
			0.181672	0.297655	0.37747	0.261711	-0.000833871	-0.00101574	-0.000799153	-0.000745654	-0.000920267	0.296191
			0.182876	0.299326	0.380096	0.263559	-0.00103835	-0.000629406	-0.000751922	-0.000642616	-0.000786792	0.298271
			0.183976	0.300997	0.382708	0.265406	-0.000833106	-0.000919478	-0.000684143	-0.000610512	-0.000860842	0.30035
			0.185028	0.302662	0.385177	0.267254	-0.000872243	-0.00081633	-0.00105012	-0.000630295	-0.000803332	0.302429
			0.18608	0.304309	0.387636	0.269102	-0.00101573	-0.000921399	-0.000782193	-0.000750646	-0.000690592	0.304509
			0.187132	0.305957	0.390095	0.270947	-0.000934452	-0.000606993	-0.000753078	-0.000859389	-0.000841723	0.306588
			0.188185	0.307604	0.392554	0.272728	-0.000859104	-0.00094593	-0.000772324	-0.000837006	-0.000606408	0.308668
			0.189237	0.309252	0.395013	0.274497	-0.000889205	-0.00083426	-0.000716023	-0.000995788	-0.000865089	0.310747
			0.190289	0.310899	0.397472	0.276267	-0.000888707	-0.000872457	-0.000838902	-0.000902018	-0.000964588	0.312827
			0.191341	0.312546	0.39993	0.278036	-0.000800128	-0.00106866	-0.000883774	-0.000908048	-0.000719469	0.314906
			0.192393	0.314194	0.402389	0.279806	-0.000813648	-0.000860701	-0.000798629	-0.000817145	-0.000844719	0.316986
			0.193445	0.315841	0.404848	0.281575	-0.000706276	-0.000905534	-0.000927456	-0.000737723	-0.00076941	0.319065
			0.194498	0.317489	0.407307	0.283345	-0.000631137	-0.000630969	-0.000803917	-0.000768094	-0.000617529	0.321145
			0.19555	0.319136	0.409766	0.285114	-0.000665145	-0.000872436	-0.000601608	-0.000791348	-0.00073574	0.32321
			0.196602	0.320784	0.412225	0.286884	-0.000766506	-0.000884969	-0.000650886	-0.000859318	-0.000944663	0.32512
			0.197654	0.322431	0.414683	0.288653	-0.000968278	-0.000783043	-0.000881558	-0.00100586	-0.000726322	0.327019
			0.198706	0.324079	0.417142	0.290423	-0.00094054	-0.00107072	-0.000799379	-0.000747511	-0.000784102	0.328918
			0.199758	0.325726	0.419451	0.292192	-0.000857847	-0.000908256	-0.00097519	-0.000516524	-0.000901119	0.330817
			0.20081	0.327373	0.421669	0.293961	-0.000793804	-0.00078062	-0.000853131	-0.000914039	-0.000879777	0.332716
			0.201863	0.329021	0.423888	0.295731	-0.000683443	-0.000898868	-0.000570783	-0.000619502	-0.000948117	0.334615
			0.202915	0.330668	0.426106	0.297501	-0.000957615	-0.000769055	-0.000878921	-0.000683021	-0.000757208	0.336513
			0.203967	0.332316	0.428325	0.29927	-0.000962317	-0.000503338	-0.00080991	-0.000857933	-0.000888559	0.338412
			0.205019	0.334025	0.430543	0.301039	-0.000668835	-0.000696594	-0.000743442	-0.000910851	-0.000827264	0.340311
			0.206071	0.335753	0.432762	0.302809	-0.00101815	-0.000889479	-0.000923028	-0.000986959	-0.000803705	0.34221
			0.207123	0.337482	0.43498	0.304578	-0.000962744	-0.00098692	-0.000805779	-0.000885729	-0.000732029	0.344108
			0.208176	0.33921	0.437198	0.306273	-0.00109227	-0.00051419	-0.000844587	-0.000976448	-0.00075944	0.346007
			0.209228	0.340939	0.439417	0.307941	-0.000596103	-0.000762518	-0.000536212	-0.00106177	-0.000785284	0.347906
			0.21028	0.342668	0.441635	0.309608	-0.00105229	-0.000726651	-0.000782364	-0.000864435	-0.000863194	0.349805
			0.211332	0.344396	0.443854	0.311276	-0.000817544	-0.00102452	-0.000841512	-0.0009247	-0.000934326	0.351704
			0.212384	0.346125	0.446072	0.312943	-0.000828758	-0.000758136	-0.000642413	-0.000766354	-0.000632718	0.353602
			0.213436	0.347854	0.448291	0.314611	-0.000681802	-0.00105396	-0.000692516	-0.000603963	-0.000881343	0.355501
			0.214489	0.349582	0.450509	0.316278	-0.000866609	-0.000700783	-0.000631097	-0.00078389	-0.000679233	0.3574
			0.215542	0.351311	0.452728	0.317946	-0.000683813	-0.000673144	-0.000664389	-0.000843361	-0.000975165	0.359201
			0.216598	0.353039	0.454941	0.319613	-0.00104116	-0.00109062	-0.000803705	-0.000791545	-0.000920917	0.360935
			0.217654	0.354768	0.456902	0.321281	-0.000692671	-0.000847807	-0.00104182	-0.000745383	-0.000949524	0.362669
			0.21871	0.356497	0.458804	0.322949	-0.000799272	-0.000705211	-0.000770896	-0.000637244	-0.000886117	0.364402
			0.219766	0.358225	0.460706	0.324616	-0.000732283	-0.000802136	-0.00079685	-0.000570605	-0.000698122	0.366136
			0.220822	0.359954	0.462608	0.326284	-0.000787615	-0.000867866	-0.000897101	-0.000521641	-0.000781874	0.36787
			0.221878	0.361682	0.464511	0.327951	-0.000979754	-0.000693341	-0.000750201	-0.00081811	-0.000558137	0.369604
			0.222934	0.363424	0.466413	0.329619	-0.000925559	-0.000902396	-0.000759612	-0.000727205	-0.000679134	0.371338
			0.22399	0.365233	0.468315	0.331286	-0.000629394	-0.000817898	-0.000900945	-0.000985457	-0.000802462	0.373072
			0.225045	0.367044	0.470217	0.332954	-0.000840935	-0.000900603	-0.000700758	-0.000988062	-0.000924923	0.374806
			0.226101	0.368856	0.47212	0.334622	-0.000647403	-0.000752765	-0.000631928	-0.000865894	-0.000786998	0.376539
			0.227157	0.370667	0.474022	0.336289	-0.000867559	-0.000700505	-0.000819206	-0.000696776	-0.0007173	0.378273
			0.228213	0.372478	0.475924	0.337957	-0.000707773	-0.000843471	-0.000660722	-0.000617117	-0.000909141	0.380007
			0.229269	0.374289	0.477827	0.339624	-0.000901712	-0.000819405	-0.000840582	-0.000902679	-0.00102041	0.381741
			0.230325	0.376101	0.479729	0.341192	-0.000846865	-0.00085448	-0.000857634	-0.000838131	-0.000815571	0.383475
			0.231381	0.377912	0.481631	0.342709	-0.000809501	-0.000874194	-0.00057553	-0.000842524	-0.000886585	0.385209
			0.232437	0.379723	0.483533	0.344225	-0.000994637	-0.000681402	-0.000825736	-0.000475793	-0.000620164	0.386943
