sub2e	tbasej22	rp610	rp1220	rp1112	jlap1_11	cur1_11
					0.11612	0.0118794
					0.114674	0.0130959
					0.110928	0.0126759
					0.111097	0.0139747
					0.122689	0.0148803
					0.108185	0.0162069
					0.110569	0.013096
					0.11294	0.0135684
					0.109151	0.0141078
					0.105989	0.0139525
					0.113784	0.0147422
					0.119319	0.0148434
					0.10982	0.0141318
					0.113278	0.0119873
					0.109972	0.014163
					0.111325	0.0142683
					0.106965	0.0133238
					0.109656	0.0148367
					0.111232	0.0162888
					0.11777	0.0137319
					0.113023	0.0143418
					0.102625	0.0138642
					0.119421	0.0137008
					0.11075	0.0140456
					0.112313	0.0139992
					0.113366	0.0132388
					0.109203	0.0119147
					0.123304	0.014615
					0.108403	0.01486
					0.108983	0.0159237
					0.107261	0.0137945
					0.123851	0.0154415
					0.105789	0.0110037
					0.107464	0.0137863
					0.107639	0.0145825
					0.125546	0.0138853
					0.113793	0.0120444
					0.116865	0.0138918
					0.129613	0.0134141
					0.114418	0.0138214
					0.126545	0.014124
					0.12203	0.0132206
					0.118448	0.013465
					0.115195	0.0167551
					0.124088	0.0156577
					0.11288	0.0148357
					0.125305	0.0152871
					0.125785	0.0160284
					0.122352	0.0155449
					0.115274	0.013391
					0.121709	0.0133808
					0.114427	0.0153055
					0.119367	0.0146831
					0.12339	0.0143782
					0.116828	0.0160436
					0.128867	0.0116259
					0.123723	0.0136976
					0.126642	0.0147232
					0.118542	0.0176171
					0.131282	0.013981
					0.123515	0.0150783
					0.122529	0.0153684
					0.13479	0.0156766
					0.132969	0.0167326
					0.124109	0.0157662
					0.145518	0.0148193
					0.142911	0.0153212
					0.143188	0.0123963
					0.142389	0.0133663
					0.148142	0.0123167
					0.14942	0.0136425
					0.134217	0.0144381
					0.137792	0.0131306
					0.142943	0.0156837
					0.144957	0.0180185
					0.149201	0.0158929
					0.140514	0.0158696
					0.13933	0.0139537
					0.142465	0.013171
					0.138123	0.014293
					0.141835	0.0136997
					0.159039	0.0143189
					0.151047	0.0155691
					0.153984	0.0134047
					0.152173	0.0129857
					0.14937	0.0118186
					0.151892	0.0159641
					0.157627	0.0154113
					0.156281	0.0113649
					0.15986	0.0132226
					0.160988	0.0149005
					0.1605	0.0145623
					0.156057	0.015044
					0.157905	0.0163496
					0.162575	0.016494
					0.159907	0.0131025
					0.16159	0.0135451
					0.153213	0.0155024
					0.164551	0.0164848
					0.155598	0.013764
					0.169745	0.0134138
					0.149535	0.0157049
					0.151187	0.0110188
					0.159844	0.0151644
					0.160655	0.0139522
					0.167987	0.0150633
					0.163324	0.0148768
					0.165881	0.0145958
					0.162784	0.0115967
					0.178049	0.0155688
