sub11	rp811	rp1316	lap1_11	cur1_11	lap1_12	cur1_12
5.11E-05	-0.0585541	-0.0594913	0.0316874	0.0154447	0.030412	0.0173426
-0.000414116	-0.0586388	-0.0580558	0.0318045	0.0146357	0.0304729	0.0178582
-0.00131877	-0.0585198	-0.0584687	0.0319252	0.0127047	0.0305362	0.0132762
-0.00142341	-0.0585157	-0.0589298	0.0320494	0.0114837	0.0306012	0.0161354
-0.00357684	-0.0576356	-0.0589544	0.0321781	0.0121071	0.0306715	0.0160597
-0.00282297	-0.0570411	-0.0584646	0.0323125	0.0140697	0.0307448	0.0175172
-0.0028342	-0.0560328	-0.0596097	0.0324518	0.0127062	0.0308225	0.0181666
-0.00428697	-0.0563162	-0.0591392	0.0325952	0.0148679	0.0309034	0.0178099
-0.00492471	-0.0559262	-0.0587604	0.032742	0.0132561	0.0309884	0.0161179
			0.0328938	0.0159215	0.0310766	0.0163107
			0.0330495	0.0125797	0.0311698	0.0160257
			0.03321	0.0153496	0.0312695	0.0149361
