sub3	tbasej3	rp3444	rp6275b	lap2_61	lap2_62	cur2_61	cur2_62
				0.305493	0.277429	0.00226023	0.00375805
				0.306888	0.278417	0.00686226	0.00288679
				0.308273	0.279396	0.00790236	0.00337222
				0.30965	0.280367	0.00598435	0.00739226
				0.311019	0.28133	0.00655764	0.00585494
				0.312381	0.282288	0.00464956	0.0064147
				0.313731	0.283239	0.00423948	0.00573455
				0.315072	0.284184	0.00473656	0.00422062
				0.316403	0.285123	0.00688885	0.00426324
				0.317724	0.286054	0.0073095	0.00503267
				0.319036	0.286977	0.00461497	0.00484851
				0.320341	0.287891	0.00385374	0.00548298
				0.321635	0.288796	0.00454888	0.00443971
				0.322919	0.289692	0.00507841	0.00592542
				0.324192	0.29058	0.00686626	0.00480193
				0.325454	0.291462	0.00588545	0.00512631
				0.326705	0.292333	0.0036217	0.00702607
				0.327947	0.293194	0.00473793	0.00435084
				0.329178	0.294046	0.00536617	0.0050972
				0.330398	0.294888	0.00526072	0.00336669
				0.331608	0.295721	0.00547165	0.00157706
				0.332807	0.296546	0.00620161	0.00260692
				0.333995	0.297362	0.00491835	0.000924463
				0.33517	0.298168	0.00589494	0.00516972
				0.336334	0.298964	0.00263716	0.00360291
				0.337486	0.299753	0.00605228	0.0032421
				0.338629	0.300534	0.00304249	0.00579893
				0.339756	0.301307	0.00668301	0.00614548
				0.340869	0.302072	0.00243224	0.00434441
				0.341968	0.302826	0.00503435	0.00342358
				0.343055	0.30357	0.0031605	0.00341825
				0.34413	0.304305	0.0041024	0.00628636
				0.345192	0.30503	0.00431942	0.00539218
				0.346242	0.305748	0.0038556	0.00373873
				0.347283	0.306457	0.00423067	0.00559503
				0.348313	0.307157	0.00337161	0.0054973
				0.349334	0.307849	0.00448912	0.00310835
				0.350343	0.30853	0.00454037	0.00374272
				0.351338	0.3092	0.00495982	0.00518823
				0.352319	0.309859	0.00505459	0.00499208
				0.353288	0.310507	0.00419467	0.00488211
				0.354242	0.311142	0.00120619	0.00364293
				0.355184	0.311765	0.00220811	0.00368541
				0.356112	0.312377	0.00351302	0.00336848
				0.357027	0.312976	0.00380279	0.00415477
				0.357926	0.313564	0.00464403	0.00635605
				0.358813	0.314142	0.00550703	0.00550998
				0.359686	0.31471	0.00347401	0.00457265
				0.360547	0.315267	0.00504641	0.00716376
				0.361393	0.315814	0.00387491	0.00361224
				0.362225	0.31635	0.00462754	0.00444291
				0.363043	0.316877	0.00544575	0.00589958
				0.363847	0.317392	0.00334575	0.00481586
				0.364637	0.317896	0.0042181	0.00380574
				0.365411	0.318391	0.00619997	0.00499643
				0.366171	0.318875	0.00380012	0.00593436
				0.366914	0.319349	0.00479398	0.00319678
				0.367641	0.319811	0.00283943	0.0022279
				0.368354	0.320262	0.00356581	0.00620776
				0.369051	0.320702	0.00468767	0.00830645
				0.369733	0.321129	0.00415521	0.00425042
				0.370397	0.321548	0.00604883	0.00503329
				0.371049	0.321953	0.00540454	0.00721395
				0.371687	0.322347	0.00561124	0.00434647
				0.372311	0.322729	0.00600424	0.00463848
				0.372923	0.323099	0.00384942	0.00386324
				0.373522	0.323459	0.00269819	0.0047916
				0.374107	0.323804	0.00502138	0.00302173
				0.37468	0.324136	0.00526194	0.00539259
				0.375239	0.324455	0.00440041	0.00475039
				0.375784	0.324762	0.00559854	0.00393429
				0.376316	0.325057	0.00545801	0.00504844
				0.376835	0.325343	0.00452798	0.00457366
				0.377341	0.325618	0.00542382	0.004923
				0.377833	0.325881	0.00492689	0.00527141
				0.37831	0.326133	0.00507981	0.00800216
				0.378772	0.326377	0.00503665	0.00436541
				0.37922	0.326611	0.00357785	0.00469954
				0.379655	0.326835	0.00382847	0.00603403
				0.380077	0.327051	0.00548241	0.00666134
				0.380486	0.327255	0.00303291	0.00779005
