Vm1_50b_samp	Vm1_53b_samp	Vm1_56b_samp
-0.0562181	-0.0635303	-0.0556316
-0.0562172	-0.0634954	-0.0556141
-0.0561701	-0.0635455	-0.0557356
-0.0562112	-0.0636409	-0.0557398
-0.0562229	-0.0635782	-0.0557052
-0.0561863	-0.0636138	-0.0557669
-0.0562722	-0.0636222	-0.0557731
-0.0562234	-0.0636633	-0.0558357
-0.056222	-0.0637069	-0.0558723
-0.0563449	-0.0637299	-0.0558907
-0.0563802	-0.0637171	-0.0559811
-0.056426	-0.0636651	-0.0559856
-0.056433	-0.0637445	-0.0560651
-0.0564222	-0.0638112	-0.0561069
-0.0564355	-0.0638082	-0.0561269
-0.0564183	-0.0638482	-0.0561571
-0.0563952	-0.0639149	-0.0562347
-0.0564086	-0.0638834	-0.0563359
-0.05634	-0.0638797	-0.0563159
-0.0564209	-0.0638943	-0.0563584
-0.0564567	-0.063915	-0.0564066
-0.0564113	-0.0639619	-0.0564068
-0.0564035	-0.0639908	-0.0565168
-0.0564186	-0.0639229	-0.0565802
-0.0563949	-0.0639372	-0.0566134
-0.0563591	-0.0639453	-0.0566436
-0.0563735	-0.0639788	-0.0566041
-0.0564287	-0.0640056	-0.0565469
-0.0564021	-0.0640611	-0.0565079
-0.056396	-0.0641488	-0.0565003
-0.0564759	-0.0640855	-0.0564966
-0.0564657	-0.0640125	-0.0564679
-0.0564369	-0.0640479	-0.0565245
-0.0565146	-0.064075	-0.0565597
-0.0565973	-0.0640946	-0.0565963
-0.0566357	-0.0640703	-0.0566049
-0.0566564	-0.0640327	-0.0566575
-0.0566711	-0.0640713	-0.0566697
-0.0567095	-0.0640382	-0.0566695
-0.0567722	-0.0640809	-0.0566679
-0.0567643	-0.0641124	-0.0566417
-0.0567654	-0.0641338	-0.0566263
-0.0567821	-0.064097	-0.0566552
-0.0568318	-0.06405	-0.0565935
-0.0568339	-0.0640745	-0.056562
