t,initial_ramp,delta_ramp
-2.596,2.6637976528276965,-0.8071044785877675
-2.529,3.2627580320365794,-0.9158118993134963
-2.461,3.79943482183716,-0.9377178489702374
-2.399,4.333876959790729,-0.8817661981039393
-2.335,4.9136333507681655,-0.7699861065707623
-2.269,5.517031422033284,-0.7760385093167628
-2.213,5.96484462896364,-0.650020333442292
-2.157,6.343270715920163,-0.5011150702843992
-2.096,6.681620339980306,-0.32423439032362467
-2.03,6.913706119646868,-0.060796698267409965
-1.975,7.049996933638354,0.05642710035959908
-1.918,7.199846525008091,0.029970742072571
-1.776,7.28988101340299,0.06971229159856307
-1.663,7.268193108859023,0.15118241255311204
-1.589,7.102304092840718,0.3527151683556653
-1.52,6.815499973847579,0.7318808107224513
-1.451,6.437679182739373,1.1910190585158489
-1.397,6.027930539391889,1.6141924485125614
-1.346,5.619949761359848,2.073118404707401
-1.29,5.255504779339596,2.4905597580908463
-1.232,4.920054501471007,2.862540143837826
-1.184,4.55078202680609,3.270670644001271
-1.137,4.180649565217344,3.6087238966982227
-1.084,3.857230343249384,3.9192387708400886
-1.031,3.535469898659656,4.21593765936575
-0.981,3.286400987250701,4.432492219679574
-0.931,3.0547420464203583,4.791228538738096
-0.877,2.855313932657694,5.209641680287618
-0.823,2.671410500163425,5.587635894082958
-0.771,2.4853595031055704,5.829652795030974
-0.723,2.374844955867914,5.822252860411822
-0.669,2.3554697678979863,5.754031317423916
-0.613,2.2874982085648696,5.832706505393844
-0.556,2.114055057208219,5.986407976462814
-0.503,1.9124498594311632,6.133577476299372
-0.449,1.7349665315462488,6.323867799934533
-0.393,1.5586241647597134,6.5790260215755865
-0.334,1.3773853612291518,6.7703395554101675
-0.28,1.2015003007518743,6.9349006538083415
-0.22,1.0691855246812594,7.1671164105916105
-0.16,0.9263642105263088,7.276641941810958
-0.096,0.7689562667538326,7.18823736515192
-0.037,0.6511551552795041,6.867106047727923
0.022,0.5895433540372608,6.452398594311795
0.089,0.5770963452108546,5.947250800915263
0.16,0.6772322066034633,5.323510755148675
0.223,0.8003455442955172,4.620173716900894
0.28,0.9508142595619447,3.739429879045396
0.337,1.1123851977770443,2.8126442628309576
0.403,1.3153424387054429,1.8139384439359105
0.479,1.5906734946060652,0.7217123569793955
0.645,1.8950123635174734,-0.31928434128799665
0.726,2.1409429944425966,-1.2452495259888536
0.816,2.354613474991808,-2.0450451781627663
0.945,2.5732808499509403,-2.6848520431513307
1.017,2.7549657796665343,-3.1383683556717514
1.081,2.93466564890484,-3.5135823798626546
1.171,3.0858981758744335,-3.828451029748237
1.254,3.1380930761686443,-3.82128267407645
1.32,3.1590435174893443,-3.4825006864988097
1.404,3.1514585223929146,-3.3327470742072194
1.498,3.175320764955835,-3.2650457012095018
1.584,3.2104137038247487,-3.2213612945406567
1.697,3.157186178489667,-3.084599051977733
1.869,3.01357918273942,-2.7558742726380743
1.946,2.8582133769205313,-2.36361572409281
2.008,2.683167544949299,-1.9596989865968908
2.079,2.4590470807453144,-1.5824663942464667
2.16,2.2377674141876085,-1.1739830009806766
2.238,2.0346463615560424,-0.8899719516181577
2.307,1.847548192219655,-0.6878664923177382
2.39,1.6396946453089072,-0.448216377901268
2.475,1.4370302451781498,-0.16063144818567565
2.541,1.2554687871853503,0.13940480549198497
2.609,1.0661389081399193,0.31939725400456354
2.685,0.8552541091860064,0.47009807126511305
2.786,0.7134268453743005,0.5507062438705361
2.892,0.5869478980058886,0.5537957502451718
3.098,0.5039040928407985,0.6430368747956834
-4.439,0.0,1.9947824949623798
-4.36,0.0,1.860541883814948
-4.276,0.0,1.7708489657044555
-4.201,0.0,1.6377553849591155
-4.144,0.0,1.5422904746943242
-4.093,0.0,1.4538415346812494
-4.044,0.0,1.2777087741385906
-3.997,0.0,1.0811430106537943
-3.955,0.0,0.8415339608009043
-3.917,0.0,0.6031739024485043
-3.878,0.0,0.37341447959790264
-3.839,0.0,0.18167046635828443
-3.8,0.0,0.04042846652173804
-3.396,0.0,-0.055460997453415484
-3.305,0.0,-0.12753901445243399
-3.237,0.0,-0.16813603897024976
-3.151,0.0,-0.16271930801242052
-3.066,0.0,-0.09860822269042124
-2.997,0.0,-0.019792452830990737
-2.92,0.0,0.10592223824452285
-2.833,0.0,0.3042348632853833
-2.769,0.0,0.47439805713958183
-2.709,0.0,0.5866897341582136
-2.648,0.0,0.7199155399771073
-2.594,0.0,0.8834083284700769
-2.552,0.0,1.029655118270663
-2.492,0.0,1.1249580996371216
-2.438,0.0,1.2194260761000169
-2.389,0.0,1.2502799662601995
-2.342,0.0,1.2383886096076988
-2.294,0.0,1.2077805448806642
-2.249,0.0,1.166254013334408
-2.21,0.0,1.1240693745635684
-2.172,0.0,1.0621775144785741
-2.135,0.0,1.0023996328179012
-2.098,0.0,0.9557539446845249
-2.062,0.0,0.9381520316410468
