lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	rp1327	in_delta_vm	ind_t
0.276134	0.00125612	0.367897	0.00584076	0.292156	0.00797627	0.359132	0.00907209	0.273372			
0.277837	0.00111281	0.3692	0.00577886	0.292647	0.00783621	0.360877	0.00896062	0.274746			
0.279539	0.00121346	0.370503	0.00578733	0.293138	0.00787286	0.362622	0.00928988	0.276121			
0.281241	0.00115826	0.371805	0.00572008	0.293629	0.00799075	0.364366	0.00903901	0.277495			
0.282944	0.00109311	0.373108	0.00572751	0.29412	0.00795078	0.365981	0.00920081	0.278869			
0.284646	0.00129903	0.374411	0.0057141	0.294611	0.00809376	0.367439	0.00893354	0.280243			
0.286349	0.00118968	0.375714	0.00569551	0.295102	0.00809163	0.368898	0.00906895	0.281617			
0.288051	0.00129653	0.377017	0.00579303	0.295593	0.00801216	0.370357	0.0093307	0.282991			
0.289754	0.001303	0.378319	0.00572319	0.296084	0.00801763	0.371815	0.00905493	0.284366			
0.291456	0.00122726	0.379622	0.0056791	0.296575	0.00795308	0.373274	0.00893994	0.28574			
0.293159	0.00116248	0.380925	0.00554336	0.297066	0.00802786	0.374733	0.00903733	0.287114			
0.294861	0.00117067	0.382228	0.00570634	0.297557	0.00799762	0.376191	0.00897497	0.288488			
0.296564	0.00130536	0.38353	0.00574924	0.298048	0.00802526	0.37765	0.00916801	0.289862			
0.298266	0.000918119	0.384833	0.00582673	0.298539	0.00805301	0.379109	0.00922075	0.291236			
0.299969	0.00123781	0.386136	0.00576634	0.29903	0.00802686	0.380567	0.00918508	0.292605			
0.301671	0.0010694	0.387439	0.00589007	0.299521	0.00803808	0.382026	0.00912984	0.293722			
0.303374	0.00129535	0.388742	0.00566569	0.300012	0.00791837	0.383484	0.00896216	0.294785			
0.305076	0.00135475	0.390044	0.00570051	0.300503	0.00804942	0.384943	0.00901246	0.295848			
0.306778	0.00110864	0.391347	0.00578785	0.300994	0.0078559	0.386402	0.0090481	0.29691			
0.308481	0.00107068	0.39265	0.00552227	0.301485	0.00803394	0.387861	0.00896434	0.297973			
0.310178	0.00118195	0.393953	0.00569144	0.301976	0.00782141	0.389319	0.00916982	0.299036			
0.311744	0.00108089	0.395255	0.0057327	0.302467	0.00780632	0.390778	0.00913652	0.300099			
0.313289	0.00127569	0.396558	0.00557316	0.302958	0.00793657	0.392236	0.00913532	0.301162			
0.314833	0.00115739	0.397816	0.0057281	0.303449	0.007889	0.393695	0.0088647	0.302224			
0.316378	0.00102634	0.399028	0.00558149	0.30394	0.00802022	0.395154	0.00933392	0.303287			
0.317922	0.00117185	0.40024	0.00558849	0.304431	0.00802893	0.396612	0.00884157	0.30435			
0.319467	0.00127986	0.401451	0.00584791	0.304922	0.00810537	0.398071	0.00903193	0.305412			
0.321011	0.00133495	0.402663	0.00562099	0.305413	0.00805534	0.39953	0.00903775	0.306475			
0.322556	0.00113101	0.403875	0.00559885	0.305905	0.00809387	0.400988	0.00925196	0.307538			
0.3241	0.00121099	0.405087	0.00584694	0.306396	0.00814778	0.402447	0.00906075	0.3086			
0.325644	0.00119647	0.406299	0.00572555	0.306887	0.00800247	0.403906	0.0089691	0.309663			
0.327189	0.00114186	0.407511	0.00552672	0.307378	0.00801701	0.405215	0.00908035	0.310726			
0.328733	0.001129	0.408722	0.00577501	0.307868	0.00819849	0.4064	0.0090115	0.311788			
0.330278	0.00121155	0.409934	0.00563493	0.30836	0.00807766	0.407584	0.00890209	0.312851			
0.331822	0.00118047	0.411146	0.0056668	0.308851	0.00796422	0.408768	0.00910114	0.313914			
0.333367	0.00104173	0.412358	0.00588092	0.309342	0.00806678	0.409952	0.00901697	0.314977			
0.334911	0.00129455	0.41357	0.00556692	0.309833	0.00789971	0.411137	0.00893142	0.316039			
