lap2_7_samp	cur2_7_samp	lap2_8_samp	cur2_8_samp	lap2_9_samp	cur2_9_samp	lap2_10_samp	cur2_10_samp	lap2_11_samp	cur2_11_samp	sub	ind_delta_vm	ind_t
0.157534	0.000641141	0.112939	0.00522067	0.167835	0.00474962	0.221469	0.00163468	0.264686	0.00165486			
0.1587	0.000743191	0.113587	0.00513381	0.169128	0.00482587	0.223181	0.0012098	0.26631	0.00165603			
0.159866	0.000985032	0.114235	0.00545424	0.17042	0.00481667	0.224894	0.00162932	0.267934	0.00142614			
0.161033	0.000633957	0.114883	0.00557014	0.171713	0.00503118	0.226606	0.00115892	0.269558	0.00160198			
0.162199	0.000776446	0.115531	0.00531068	0.173006	0.00476398	0.228318	0.00140139	0.271182	0.00146874			
0.163365	0.000646909	0.116179	0.00505467	0.174298	0.00484711	0.230031	0.00145729	0.272806	0.00137401			
0.164531	0.000794173	0.116826	0.0052761	0.175591	0.00481465	0.231743	0.00141107	0.27443	0.0014583			
0.165697	0.000774898	0.117474	0.00533403	0.176883	0.00495367	0.233455	0.00150546	0.276054	0.0013328			
0.166734	0.000792781	0.118122	0.00511458	0.178176	0.0049554	0.235167	0.00117474	0.277678	0.00151833			
0.167695	0.000596804	0.11877	0.00530959	0.179445	0.00490005	0.23688	0.0013328	0.279302	0.00135016			
0.168655	0.000665862	0.119418	0.00519355	0.180405	0.00484499	0.238592	0.00150213	0.280926	0.00158573			
0.169616	0.000803679	0.120066	0.0052496	0.181338	0.00486642	0.240304	0.00126091	0.28255	0.00152522			
0.170577	0.000597567	0.120714	0.00513716	0.182271	0.00484925	0.242017	0.00148434	0.284174	0.00152742			
0.171538	0.00086814	0.121362	0.00517277	0.183204	0.0047744	0.243729	0.00156111	0.285798	0.00164183			
0.172498	0.000821539	0.12201	0.00529811	0.184136	0.00493254	0.245441	0.00145287	0.287422	0.00174919			
0.173459	0.00075313	0.122658	0.00514798	0.185069	0.00484962	0.247154	0.00157127	0.289046	0.00141848			
