lap4_13_samp	cur4_13_samp	lap4_14_samp	cur4_14_samp	lap4_15_samp	cur4_15_samp	lap4_16_samp	cur4_16_samp	sub2	ind_t	ind_delta_vm
0.256043	0.0037806	0.140344	0.00351472	0.129593	0.00358153	0.219371	0.00363798			
0.257857	0.00378988	0.141303	0.00380931	0.130348	0.00352816	0.22052	0.00367007			
0.25967	0.00361511	0.142261	0.00374838	0.131103	0.00349627	0.221669	0.0037183			
0.261484	0.00358496	0.14322	0.00360391	0.131858	0.00368558	0.222817	0.00370833			
0.263297	0.00360548	0.144178	0.00362615	0.132613	0.00373916	0.223966	0.00366805			
0.265111	0.00362479	0.145137	0.00349644	0.133368	0.00347417	0.225115	0.00379474			
0.266924	0.00368506	0.146095	0.00357846	0.134122	0.00361313	0.226264	0.00342469			
0.268738	0.00373763	0.147054	0.00347459	0.134877	0.00363405	0.227413	0.00356203			
0.270551	0.00349409	0.148012	0.00365007	0.135632	0.00354294	0.228562	0.00354921			
0.272241	0.00384239	0.148971	0.00376781	0.136387	0.00364638	0.229711	0.0037463			
0.273877	0.00357844	0.149929	0.00363017	0.137142	0.00364909	0.23086	0.00353491			
0.275513	0.00364702	0.150888	0.00349561	0.137897	0.003719	0.232009	0.00353872			
0.277148	0.00359354	0.151846	0.00351404	0.138651	0.00375529	0.233158	0.00363615			
0.278784	0.00354322	0.152805	0.00351885	0.139406	0.00361337	0.234307	0.00372335			
0.28042	0.00361805	0.153763	0.00362239	0.140222	0.0035769	0.235456	0.00346893			
0.282055	0.00374075	0.154722	0.0036706	0.141185	0.00360009	0.236605	0.00363911			
0.283691	0.00350578	0.15567	0.00368912	0.142149	0.00376046	0.237754	0.00375166			
0.285326	0.00359067	0.156107	0.00373294	0.143112	0.00381553	0.238903	0.00357034			
0.286962	0.00367771	0.15643	0.00373519	0.144076	0.00358821	0.240051	0.00345264			
0.288598	0.00354245	0.156753	0.00382843	0.145039	0.00358341	0.2412	0.00360412			
0.290234	0.00356774	0.157076	0.00358772	0.146003	0.0036443	0.242349	0.00355639			
0.291869	0.00363607	0.157399	0.00374144	0.146966	0.00364716	0.243498	0.00361339			
0.293505	0.00365538	0.157721	0.0034404	0.14793	0.00358949	0.244647	0.00357152			
0.295141	0.00359591	0.158044	0.00358078	0.148893	0.0036682	0.245796	0.00364265			
0.296776	0.00365414	0.158367	0.00354762	0.149857	0.00337227	0.246945	0.00356918			
0.298412	0.00367249	0.15869	0.00364463	0.15082	0.00394939	0.248094	0.00349874			
0.300048	0.00367682	0.159013	0.00342095	0.151784	0.00372828	0.249243	0.00363205			
0.301683	0.00345332	0.159336	0.00374338	0.152747	0.00372249	0.250392	0.00370558			
0.303319	0.00364958	0.159659	0.0034689	0.153711	0.00337359	0.251541	0.00354771			
0.304933	0.00369741	0.159982	0.00366332	0.154674	0.00364941	0.252689	0.00356263			
0.306495	0.0035816	0.160305	0.00360059	0.155638	0.00355008	0.253838	0.00358425			
0.308057	0.0036921	0.160628	0.00377687	0.156602	0.00371645	0.254987	0.00366137			
0.309619	0.00385466	0.16095	0.00365644	0.157565	0.00376478	0.256096	0.00360979			
0.311181	0.00346443	0.161273	0.00363417	0.158529	0.00341193	0.256842	0.00352594			
0.312743	0.00368092	0.161596	0.00345024	0.159492	0.00383196	0.257565	0.00354238			
0.314305	0.00363814	0.161919	0.00360522	0.160456	0.0038483	0.258288	0.00359199			
0.315867	0.00362712	0.162242	0.00355885	0.161419	0.00357323	0.259011	0.00354165			
0.317428	0.00384693	0.162565	0.00349799	0.162383	0.0037302	0.259733	0.00381625			
0.31899	0.00354962	0.162888	0.00360549	0.163346	0.0036311	0.260457	0.00365317			
0.320552	0.00367511	0.163211	0.00360811	0.16431	0.00367344	0.26118	0.00363527			
0.322114	0.00366966	0.163533	0.00364282	0.165313	0.00375589	0.261903	0.00361924			
0.323676	0.0036414	0.163856	0.00343829	0.166526	0.00378055	0.262625	0.00364384			
0.325238	0.00353829	0.164179	0.00350881	0.167744	0.00372084	0.263348	0.00378446			
0.3268	0.00364049	0.164502	0.00359505	0.168962	0.00354565	0.264071	0.00339431			
0.328362	0.00366768	0.164825	0.00364993	0.170181	0.00340959	0.264795	0.00350214			
0.329924	0.0036846	0.165148	0.00352834	0.171399	0.00385285	0.265518	0.00375276			
0.331486	0.00361742	0.165471	0.00361225	0.172617	0.00348577	0.266241	0.00352629			
0.333048	0.00367439	0.165793	0.00367457	0.173835	0.00372153	0.266964	0.00370908			
0.33461	0.0036785	0.166116	0.00353192	0.175054	0.00383769	0.267687	0.00362193			
0.336172	0.00369083	0.166439	0.00349327	0.176272	0.00370759	0.26841	0.003531			
0.337734	0.00347806	0.166762	0.00354589	0.17749	0.00367664	0.269133	0.00360297			
0.339296	0.00365556	0.167085	0.0036033	0.178709	0.00371989	0.269856	0.00370906			
0.340774	0.00372565	0.167408	0.00383111	0.179927	0.00355673	0.270579	0.00371041			
0.342174	0.00369519	0.167731	0.00378035	0.181145	0.00353402	0.271302	0.00368888			
0.343574	0.0037301	0.168053	0.00366578	0.182364	0.00352981	0.272025	0.0034801			
0.344974	0.00362452	0.168376	0.00361162	0.183582	0.0036703	0.272748	0.00358094			
0.346374	0.00365489	0.168699	0.00360346	0.184801	0.0036182	0.273471	0.00374613			
0.347774	0.00373757	0.169022	0.00384274	0.186019	0.00379211	0.274194	0.00377539			
0.349173	0.00357968	0.169345	0.0034517	0.187237	0.00350098	0.274917	0.00368443			
0.350573	0.00373517	0.169668	0.00361609	0.188456	0.00344746	0.27564	0.00358886			
0.351973	0.00354575	0.169991	0.00358961	0.189674	0.00385016	0.276363	0.00362474			
0.353373	0.00357431	0.170314	0.00359888	0.190892	0.00355066	0.277086	0.00364864			
0.354773	0.00391882	0.170637	0.00367375	0.192111	0.0034377	0.277809	0.00348484			
0.356173	0.00328595	0.17096	0.00351163	0.193392	0.00352057	0.278532	0.00353			
0.357573	0.00366551	0.171282	0.00357316	0.194792	0.00346711	0.279255	0.00373597			
0.358973	0.00369122	0.171605	0.00346779	0.196192	0.00365647	0.279978	0.0036267			
0.360373	0.00370758	0.171928	0.00372799	0.197592	0.00365121	0.280702	0.00354593			
0.361772	0.00369154	0.172251	0.00377663	0.198992	0.00347822	0.281425	0.00367908			
0.363172	0.0036703	0.172574	0.0036878	0.200392	0.00370901	0.282148	0.00351101			
0.364572	0.00352388	0.172897	0.00383975	0.201792	0.00361468	0.282871	0.00361677			
0.365972	0.00378891	0.17322	0.00354744	0.203192	0.00384998	0.283594	0.00363383			
0.367372	0.00372361	0.173543	0.00361807	0.204592	0.00356595	0.284317	0.00377396			
0.368772	0.00339101	0.173865	0.0036339	0.205992	0.00367701	0.28504	0.00345658			
0.370172	0.00356236	0.174188	0.00338646	0.207392	0.00361067	0.285763	0.00371191			
0.371572	0.00371965	0.174511	0.00360833	0.208792	0.00377229	0.286486	0.0037865			
0.372972	0.00338872	0.174834	0.00370693	0.210192	0.00358379	0.287209	0.00362844			
0.374371	0.00368005	0.175157	0.00366077	0.211592	0.00370572	0.287932	0.00367732			
0.375771	0.0036861	0.17548	0.00361468	0.212992	0.00375469	0.288655	0.00369273			
0.377072	0.00358967	0.175803	0.0036406	0.214392	0.00351682	0.289378	0.00354358			
0.378301	0.00380664	0.176126	0.00349188	0.215792	0.00373	0.2901	0.0036049			
0.37953	0.00374642	0.176449	0.00365714	0.217192	0.00361092	0.290783	0.00362153			
0.380758	0.00373255	0.176772	0.00347612	0.218592	0.00353767	0.291456	0.00369523			
0.381987	0.00361385	0.177095	0.00364929	0.219992	0.00365203	0.29213	0.00354041			
0.383216	0.00360975	0.177417	0.00362192	0.221392	0.00347789	0.292803	0.00376577			
0.384445	0.00357468	0.17774	0.00347125	0.222825	0.00365519	0.293477	0.00364154			
0.385673	0.00373157	0.178063	0.00357311	0.224337	0.00368004	0.294151	0.00357305			
0.386902	0.00371253	0.178386	0.00363341	0.22585	0.00361129	0.294824	0.00367442			
0.388131	0.00361062	0.178709	0.00356563	0.227362	0.00354437	0.295498	0.00367066			
0.38936	0.00366357	0.179032	0.00355833	0.228875	0.00367201	0.296171	0.00360843			
0.390589	0.00378592	0.179354	0.00364274	0.230388	0.00362041	0.296845	0.00352092			
0.391818	0.00362739	0.179677	0.00378171	0.231901	0.00370381	0.297518	0.00348588			
0.393046	0.00359555	0.18	0.00363168	0.233413	0.00337931	0.298192	0.00343438			
0.394275	0.00340253	0.180323	0.00353655	0.234926	0.00343862	0.298866	0.0037128			
0.395504	0.0035522	0.180646	0.00372417	0.236439	0.00368814	0.299539	0.00361112			
0.396733	0.00365504	0.180969	0.00377486	0.237952	0.00374661	0.300213	0.00383904			
0.397962	0.00374781	0.181292	0.00386227	0.239464	0.00355565	0.300886	0.00363315			
0.39919	0.00345522	0.181615	0.0035829	0.240977	0.00343762	0.30156	0.00373052			
0.400419	0.00383927	0.181938	0.00370459	0.24249	0.00368666	0.302233	0.00358568			
0.401648	0.00371862	0.182261	0.00358508	0.244003	0.00372596	0.302907	0.00373202			
0.402877	0.00387504	0.182584	0.00375738	0.245515	0.00363787	0.30358	0.0036657			
0.404106	0.00348248	0.182907	0.00351375	0.247028	0.00361198	0.304254	0.00372515			
0.405334	0.00358522	0.18323	0.00377302	0.248541	0.00344665	0.304928	0.00359867			
0.406563	0.00383016	0.183552	0.00349597	0.250053	0.00347445	0.305601	0.00353825			
