cur3_37_samp	cur3_38_samp	cur3_39_samp	cur3_40_samp	lap3_37_samp	lap3_38_samp	lap3_39_samp	lap3_40_samp	rp11
-6.63212e-05	2.67305e-05	-0.000227312	-0.000193362	0.41273	0.384627	0.433366	0.311062	
-3.96558e-05	-0.000102713	-0.00010103	6.00714e-06	0.415318	0.387649	0.436063	0.3128	
-0.000231052	-9.97727e-05	-0.000119141	-0.000207349	0.417903	0.390672	0.43876	0.314538	
-0.000162872	6.04949e-05	-0.000120655	-0.000160891	0.420488	0.393694	0.441457	0.316276	
-3.84401e-05	-0.000187175	-0.000165643	-0.000111057	0.423073	0.396717	0.444154	0.318014	
2.13434e-06	-0.000108978	-0.000144714	-0.000188126	0.425659	0.399739	0.446852	0.319753	
-9.27259e-05	-0.000112647	-7.44787e-05	-0.000204969	0.428244	0.402762	0.449515	0.321491	
-0.000102234	-0.000221672	7.02378e-06	-0.00010243	0.430829	0.405784	0.452159	0.323229	
-0.000232997	-3.72125e-05	-2.13031e-05	-9.40417e-05	0.433414	0.408807	0.454803	0.324967	
-9.78758e-05	-0.00030857	-0.000161627	-0.000183938	0.436	0.411829	0.457448	0.326705	
-3.37048e-05	-0.000250906	-8.58301e-05	-0.000177209	0.438585	0.41484	0.460093	0.328443	
2.03044e-05	-5.54102e-05	-0.000215651	-0.000207224	0.44117	0.417848	0.462737	0.330181	
-0.000145919	1.23524e-07	-0.000135379	-8.18032e-05	0.443756	0.420856	0.465382	0.331919	
-7.42817e-05	-0.000381741	7.02281e-05	-0.000185715	0.446335	0.423864	0.468026	0.333658	
-0.000211359	-3.94422e-05	-0.00010338	-0.000245411	0.448909	0.426871	0.470671	0.335396	
-0.000143501	-0.000196599	-9.91279e-05	2.08096e-05	0.451484	0.429879	0.473315	0.337134	
-0.000255307	-0.000357526	-0.000234639	-0.000153305	0.454059	0.432887	0.47596	0.338872	
-0.000203309	-0.000100877	-0.000291485	-0.000166847	0.456633	0.435894	0.478604	0.34061	
-0.000161225	-6.4121e-05	-0.000177124	6.55526e-05	0.459208	0.438902	0.481249	0.342348	
-0.000197568	-0.000127156	-0.000128934	-0.000203131	0.461782	0.44191	0.483895	0.344081	
-0.000127147	-0.00024773	-0.000196534	-0.000158535	0.464357	0.444916	0.48654	0.345813	
-0.000136649	-7.95678e-05	-0.000218167	-0.000212206	0.466931	0.447916	0.489186	0.347545	
-4.56779e-05	-0.000104908	-0.00017444	8.49292e-05	0.469506	0.450917	0.491832	0.349277	
-0.000308867	-9.28877e-05	-0.000107997	-1.24235e-05	0.47208	0.453917	0.494477	0.351009	
-6.33815e-06	5.01953e-05	-1.72042e-08	-7.41032e-05	0.474655	0.456917	0.497123	0.352741	
-0.000123715	-2.46017e-05	-0.000182228	-0.000102461	0.477236	0.459917	0.499768	0.354473	
2.57031e-05	-5.15453e-05	-4.94999e-05	-0.000104991	0.479836	0.462917	0.502413	0.356205	
-0.000334288	-0.000151841	-4.45376e-05	-0.000193776	0.482436	0.465917	0.505059	0.357937	
0.000102511	-7.55331e-05	-9.69527e-05	-0.000176562	0.485036	0.468917	0.507704	0.359669	
-2.40038e-05	-0.000180024	4.48954e-05	-0.000140328	0.487636	0.471917	0.51035	0.361401	
-0.000202306	-6.19403e-05	-0.000416912	-0.000318053	0.490236	0.474918	0.513041	0.363133	
-0.000283747	-0.000269066	-0.000101296	-0.000119161	0.492835	0.47791	0.515746	0.364865	
-8.02001e-05	-0.000209807	-8.71294e-05	-7.36652e-05	0.495435	0.480892	0.518452	0.366598	
