lap3_7_samp	lap3_8_samp	lap3_9_samp	lap3_10_samp	lap3_11_samp	lap3_12_samp	rp1	cur3_8_samp	cur3_9_samp	cur3_10_samp	cur3_11_samp	cur3_12_samp
0.111646	0.0991082	0.281279	0.00652781	0.049098	0.151928	-0.0597721	-0.000885246	-0.000871524	-0.000825937	-0.000755852	-0.000829994
0.112632	0.10017	0.283906	0.00712391	0.0505016	0.152726	-0.0593575	-0.000730101	-0.000800797	-0.000866072	-0.000858024	-0.000779795
0.113618	0.101231	0.286533	0.00772011	0.0519052	0.153524	-0.0586427	-0.00107902	-0.00094166	-0.000968969	-0.000923119	-0.000822287
0.114604	0.102293	0.28916	0.00831623	0.0533087	0.154322	-0.0595113	-0.000923402	-0.000980406	-0.000895713	-0.000761817	-0.000716477
0.11559	0.103355	0.291787	0.00891236	0.0547123	0.15512	-0.0593809	-0.000684941	-0.000816024	-0.000767286	-0.000781106	-0.000877913
0.116575	0.104416	0.294414	0.00950852	0.056116	0.155918	-0.0592807	-0.000864564	-0.000695801	-0.000925099	-0.00102571	-0.00086844
0.117561	0.105478	0.297041	0.0101046	0.0575196	0.156716	-0.0587506	-0.000824736	-0.000885263	-0.00070349	-0.000796834	-0.00103351
0.118547	0.106539	0.299668	0.0107007	0.0589231	0.157514	-0.058031	-0.000758705	-0.000888472	-0.000844681	-0.00091184	-0.00122428
0.119533	0.107601	0.302295	0.0112969	0.0603267	0.158312	-0.0587072	-0.00090497	-0.000895932	-0.000733988	-0.000840656	-0.000807512
0.120519	0.108663	0.304922	0.011893	0.0617303	0.15911	-0.0581641	-0.000904745	-0.00101706	-0.00099399	-0.0010959	-0.000830099
0.121505	0.109724	0.307549	0.0124892	0.0631339	0.159907	-0.0580146	-0.00100345	-0.000780111	-0.000599366	-0.000833526	-0.000898318
0.122491	0.110786	0.310087	0.0130854	0.0645374	0.160705	-0.0576917	-0.000889514	-0.00073775	-0.000929557	-0.000840972	-0.000968136
0.123477	0.111848	0.312585	0.0136816	0.0659409	0.161503	-0.0558293	-0.00102192	-0.000671298	-0.000671442	-0.000998005	-0.000712988
0.124463	0.112909	0.315084	0.0142778	0.0673444	0.162301	-0.0550492	-0.000777825	-0.000613352	-0.000876445	-0.000830829	-0.000987562
0.125449	0.113971	0.317583	0.014874	0.068748	0.163099	-0.0550267	-0.000824241	-0.000844775	-0.000765502	-0.000941422	-0.000953229
0.126434	0.115033	0.320081	0.0154702	0.0701516	0.163897	-0.0541486	-0.00108998	-0.000961955	-0.000777332	-0.000984207	-0.00102147
0.12742	0.116094	0.32258	0.0160665	0.0715552	0.164695	-0.0529522	-0.00102518	-0.000734328	-0.000626983	-0.000829244	-0.00111068
0.128406	0.117156	0.325079	0.0166627	0.0729589	0.165493	-0.05156	-0.00104398	-0.000697773	-0.000790778	-0.000747285	-0.000800082
0.129392	0.118217	0.327577	0.0172589	0.0743625	0.166291	-0.0505846	-0.000868945	-0.000912206	-0.000713619	-0.00096205	-0.00103442
0.130378	0.119279	0.330076	0.0178551	0.075766	0.167089	-0.0500631	-0.000811506	-0.000948185	-0.000730467	-0.000764854	-0.000837176
0.131363	0.120341	0.332575	0.0184513	0.0771717	0.167887	-0.0500038	-0.000845624	-0.00100919	-0.000884282	-0.000822157	-0.00107833
0.132349	0.121402	0.335073	0.0190475	0.0786907	0.168685	-0.0501174	-0.000845382	-0.00102707	-0.00091405	-0.000717899	-0.00088376
0.133335	0.122464	0.337572	0.0196436	0.0802359	0.169483	-0.0498526	-0.000763697	-0.00101329	-0.000852908	-0.000919274	-0.000772953
0.134306	0.123526	0.340071	0.0202398	0.0817812	0.17028	-0.049333	-0.000754651	-0.000791288	-0.000908939	-0.00097733	-0.000769955
0.135245	0.124595	0.342546	0.020836	0.0833263	0.171078	-0.0484373	-0.000727412	-0.000729924	-0.000866067	-0.000666975	-0.000825131
0.136183	0.125756	0.344906	0.0214322	0.0848717	0.171876	-0.0481079	-0.000893084	-0.000763943	-0.000891426	-0.00103764	-0.000774984
0.137122	0.126924	0.347263	0.0220284	0.0864169	0.172674	-0.0489709	-0.000922538	-0.00103884	-0.000903269	-0.000897483	-0.000792087
0.13806	0.128092	0.34962	0.0226244	0.087962	0.173472	-0.0499809	-0.000979029	-0.000801992	-0.0010551	-0.000755895	-0.000889609
0.138999	0.129259	0.351977	0.0232205	0.0895074	0.17427	-0.0501517	-0.000947207	-0.000571745	-0.000654946	-0.000656973	-0.000754456
0.139938	0.130427	0.354334	0.0238168	0.0910527	0.175068	-0.0497721	-0.000789591	-0.000706998	-0.000931492	-0.00090948	-0.000766443
0.140876	0.131595	0.356691	0.0244129	0.0925979	0.175866	-0.0497054	-0.000877935	-0.000744793	-0.00084376	-0.000751408	-0.000963553
0.141815	0.132763	0.359048	0.025009	0.0941432	0.176664	-0.0502553	-0.000686892	-0.000896991	-0.000909034	-0.0010065	-0.000788097
0.142753	0.133931	0.361405	0.0256051	0.0956886	0.177462	-0.0510277	-0.000784552	-0.000847197	-0.000670198	-0.000570066	-0.000798344
0.143692	0.135099	0.363762	0.0262013	0.0972339	0.17826	-0.051379	-0.000578906	-0.000819414	-0.000567977	-0.000882818	-0.000958174
0.14463	0.136267	0.366119	0.0267975	0.0987792	0.179058	-0.0510863	-0.000781988	-0.000918602	-0.000621378	-0.000743655	-0.000739752
0.145569	0.137434	0.368476	0.0273937	0.100325	0.179856	-0.0508506	-0.000829629	-0.000697394	-0.000709087	-0.000901305	-0.000863481
0.146508	0.138602	0.370833	0.0279898	0.10187	0.180654	-0.0512101	-0.000921148	-0.000745886	-0.000725453	-0.00082406	-0.000708725
0.147446	0.13977	0.37319	0.0285859	0.103415	0.181452	-0.0519879	-0.000931747	-0.000920139	-0.000674375	-0.000931572	-0.000910954
0.148385	0.140938	0.375547	0.0291821	0.10496	0.18225	-0.0527281	-0.000879977	-0.00070297	-0.000783293	-0.000813003	-0.00098344
0.149323	0.142106	0.377808	0.0297783	0.106508	0.183047	-0.0532993	-0.000724763	-0.00087688	-0.000740216	-0.000825254	-0.000714993
0.150262	0.143274	0.380003	0.0303745	0.108167	0.183845	-0.0538146	-0.000874984	-0.000948786	-0.00095351	-0.000657925	-0.000698044
0.1512	0.144442	0.382198	0.0309707	0.10985	0.184643	-0.0534207	-0.00100607	-0.000909117	-0.000977338	-0.000713738	-0.00101917
0.152139	0.14561	0.384394	0.0315669	0.111533	0.185441	-0.0523512	-0.00096003	-0.000973123	-0.000931494	-0.000658685	-0.000697419
0.153078	0.146778	0.386589	0.032163	0.113216	0.186239	-0.0526725	-0.000762948	-0.000988565	-0.000669491	-0.00092157	-0.000893924
0.154016	0.147945	0.388784	0.0327591	0.114899	0.187037	-0.0537481	-0.000814401	-0.000727873	-0.00099083	-0.000953544	-0.000767035
0.154955	0.149113	0.390979	0.0333552	0.116582	0.187835	-0.0545914	-0.000863888	-0.000711424	-0.000880347	-0.000780547	-0.000906945
0.155893	0.150281	0.393174	0.0339514	0.118265	0.188633	-0.0547939	-0.000912068	-0.000844814	-0.000671051	-0.000928668	-0.000748051
0.156832	0.151449	0.39537	0.0345476	0.119948	0.189431	-0.0552907	-0.000739146	-0.000715145	-0.000668532	-0.00108021	-0.000888114
0.15777	0.152617	0.397565	0.0351437	0.12163	0.190229	-0.0568834	-0.000822037	-0.00106013	-0.000999948	-0.000768489	-0.000799518
0.158709	0.153795	0.39976	0.0357399	0.123313	0.191027	-0.0572193	-0.000885783	-0.000647018	-0.000837986	-0.000863463	-0.000881167
0.159647	0.15507	0.401955	0.0363361	0.124996	0.191825	-0.0569921	-0.000914592	-0.000548945	-0.000746686	-0.000886897	-0.00106076
0.160586	0.15635	0.404151	0.0369322	0.126679	0.192622	-0.0574384	-0.000854565	-0.000750439	-0.000785177	-0.000877106	-0.00108707
0.161525	0.157629	0.406346	0.0375284	0.128363	0.19342	-0.0578059	-0.000735188	-0.000782879	-0.000733665	-0.000820768	-0.000755927
0.162463	0.158909	0.408541	0.0381226	0.130046	0.194218	-0.0579074	-0.000825362	-0.000852119	-0.000680299	-0.00063292	-0.000720183
0.163402	0.160189	0.410736	0.0386376	0.131729	0.195016	-0.059735	-0.00094978	-0.000701942	-0.000771278	-0.000554206	-0.000851652
0.16434	0.161469	0.412828	0.0391367	0.133412	0.195814	-0.0596164	-0.000932229	-0.000920567	-0.000930817	-0.000715268	-0.00089545
0.165279	0.162749	0.414812	0.0396357	0.135095	0.196612	-0.0592521	-0.00109001	-0.000587385	-0.00104812	-0.000779103	-0.00106785
0.166218	0.164029	0.416796	0.0401347	0.136778	0.19741	-0.0592405	-0.000948845	-0.00085558	-0.000725284	-0.000663901	-0.00103217
0.167156	0.165309	0.418781	0.0406338	0.138511	0.198208	-0.0594451	-0.000910487	-0.00100207	-0.000738671	-0.000923257	-0.00079249
0.168095	0.166589	0.420765	0.0411329	0.140269	0.199006	-0.0601421	-0.00104242	-0.000889687	-0.00105877	-0.00083289	-0.000789214
0.169033	0.167868	0.422749	0.0416319	0.142027	0.199804	-0.0604968	-0.000918872	-0.00107309	-0.000852929	-0.000734936	-0.000827289
0.169904	0.169148	0.424734	0.0421309	0.143784	0.200602	-0.0600083	-0.000897392	-0.000964948	-0.00075589	-0.000860663	-0.000831745
0.170755	0.170428	0.426718	0.04263	0.145542	0.201399	-0.0599388	-0.000947145	-0.000805094	-0.00106687	-0.000948688	-0.000812601
0.171607	0.171708	0.428702	0.0431289	0.1473	0.202197	-0.0605924	-0.000649201	-0.000722374	-0.000862152	-0.000758626	-0.000792778
0.172458	0.172988	0.430686	0.043628	0.149057	0.202995	-0.0602607	-0.000944279	-0.00100581	-0.000866079	-0.000874421	-0.000866531
0.173309	0.174267	0.432671	0.0441271	0.150815	0.203793	-0.0601979	-0.000912987	-0.00084963	-0.000694502	-0.000842566	-0.000735278
0.17416	0.175547	0.434655	0.0446262	0.152573	0.204591	-0.0600834	-0.000925547	-0.000901412	-0.000912387	-0.000844649	-0.000886116
0.175011	0.176827	0.436639	0.0451252	0.154331	0.205389	-0.0605899	-0.000877131	-0.00083474	-0.000969125	-0.000801593	-0.000818966
0.175863	0.178107	0.438623	0.0456242	0.156088	0.206187	-0.0605592	-0.000769151	-0.000627221	-0.000861718	-0.000796738	-0.000866299
0.176714	0.179387	0.440608	0.0461233	0.157846	0.206985	-0.0602512	-0.000651941	-0.00102275	-0.000901221	-0.000712798	-0.000689822
0.177565	0.180666	0.442592	0.0466224	0.159604	0.207783	-0.0609567	-0.000897466	-0.000730015	-0.000741926	-0.000686911	-0.000822385
0.178416	0.181946	0.444576	0.0471216	0.161361	0.208581	-0.0612145	-0.000960753	-0.000990384	-0.000687717	-0.000665277	-0.00117219
0.179267	0.183226	0.446561	0.0476207	0.163119	0.209379	-0.0609489	-0.00068107	-0.000932882	-0.000702566	-0.000923147	-0.000912319
0.180118	0.184519	0.448545	0.0481198	0.164877	0.210177	-0.0610254	-0.000827084	-0.000789584	-0.000760696	-0.000756213	-0.000938776
0.18097	0.185858	0.450425	0.0486189	0.166635	0.210974	-0.0610145	-0.00093109	-0.000871726	-0.000882876	-0.000652316	-0.000747128
0.181821	0.187198	0.452092	0.049118	0.168392	0.211772	-0.0608579	-0.000707636	-0.000883655	-0.000748075	-0.00100074	-0.000893524
0.182672	0.188538	0.453758	0.049617	0.170146	0.21257	-0.0610742	-0.00083835	-0.000945804	-0.000778743	-0.000645256	-0.000816617
0.183523	0.189877	0.455424	0.0501161	0.171895	0.213368	-0.0611826	-0.000792201	-0.00083354	-0.000629066	-0.000907327	-0.000815478
0.184375	0.191217	0.45709	0.0506152	0.173643	0.214166	-0.0608588	-0.000677156	-0.000717126	-0.000782659	-0.000990869	-0.000944384
