lap2_47_samp	lap2_48_samp	lap2_49_samp	lap2_50_samp	lap2_51_samp	Smth2_47_samp	Smth2_48_samp	Smth2_49_samp	Smth2_50_samp	Smth2_51_samp	rp1111
0.44505	0.324354	0.459208	0.377677	0.454163	-0.0615433	-0.0587607	-0.0567495	-0.0619618	-0.0608972	
0.448322	0.326311	0.462606	0.380374	0.457731	-0.0613509	-0.0587448	-0.0567097	-0.0618119	-0.0609047	
0.451592	0.328245	0.466003	0.38307	0.461298	-0.0611662	-0.0587201	-0.0566663	-0.0616629	-0.0609134	
0.454863	0.33018	0.469385	0.385767	0.464865	-0.060991	-0.0586879	-0.0566194	-0.0615155	-0.0609251	
0.458134	0.332115	0.472725	0.388463	0.468433	-0.0608265	-0.0586497	-0.0565694	-0.0613699	-0.0609402	
0.461405	0.334049	0.476064	0.391089	0.472	-0.0606744	-0.0586066	-0.0565181	-0.0612274	-0.06096	
0.464676	0.335984	0.479403	0.39369	0.475567	-0.0605359	-0.0585585	-0.056468	-0.0610899	-0.0609849	
0.467947	0.337919	0.482742	0.396291	0.479129	-0.0604111	-0.0585066	-0.0564197	-0.0609584	-0.0610145	
0.471217	0.339853	0.486081	0.398892	0.482662	-0.0603007	-0.0584517	-0.0563734	-0.0608332	-0.0610468	
0.474488	0.341788	0.48942	0.401493	0.486195	-0.0602058	-0.0583948	-0.0563295	-0.0607143	-0.0610795	
0.477744	0.343722	0.492759	0.404093	0.489727	-0.0601264	-0.0583369	-0.0562881	-0.0606015	-0.0611116	
0.480951	0.345657	0.496098	0.406694	0.49326	-0.0600624	-0.0582786	-0.0562491	-0.060494	-0.0611425	
0.484159	0.347592	0.499437	0.409295	0.496793	-0.0600131	-0.0582205	-0.056212	-0.0603905	-0.0611712	
0.487366	0.349526	0.502776	0.411896	0.500326	-0.0599769	-0.0581633	-0.0561759	-0.0602886	-0.061198	
0.490574	0.351461	0.506115	0.414497	0.503858	-0.0599528	-0.058107	-0.0561407	-0.0601883	-0.0612229	
0.493781	0.353395	0.509453	0.417098	0.507391	-0.0599399	-0.0580516	-0.0561058	-0.0600901	-0.0612465	
0.496988	0.35533	0.512792	0.419699	0.510921	-0.0599364	-0.0579965	-0.0560711	-0.0599958	-0.0612684	
0.500196	0.357264	0.516131	0.422298	0.51439	-0.0599407	-0.0579405	-0.0560355	-0.0599056	-0.0612879	
0.503403	0.359199	0.51947	0.424795	0.517853	-0.0599527	-0.0578829	-0.0559986	-0.0598195	-0.0613046	
0.50661	0.361126	0.522809	0.427261	0.521315	-0.0599717	-0.0578235	-0.0559607	-0.0597371	-0.0613176	
0.509812	0.362838	0.526148	0.429727	0.524777	-0.0599966	-0.0577623	-0.0559213	-0.0596577	-0.0613254	
0.512941	0.364515	0.529487	0.432193	0.528239	-0.060027	-0.0576993	-0.0558791	-0.0595814	-0.0613265	
0.516065	0.366192	0.532932	0.434658	0.531702	-0.060063	-0.0576341	-0.0558332	-0.0595081	-0.0613211	
0.519188	0.367869	0.536448	0.437124	0.535164	-0.0601058	-0.0575672	-0.0557844	-0.0594386	-0.0613104	
0.522311	0.369546	0.539963	0.43959	0.538626	-0.0601558	-0.0574978	-0.0557325	-0.0593748	-0.0612959	
0.525435	0.371223	0.543479	0.442056	0.542088	-0.0602132	-0.0574259	-0.0556769	-0.0593184	-0.0612784	
0.528558	0.3729	0.546995	0.444522	0.54551	-0.0602781	-0.0573526	-0.055616	-0.0592705	-0.0612585	
0.531681	0.374577	0.550511	0.446987	0.548889	-0.0603505	-0.0572794	-0.055549	-0.0592311	-0.0612382	
0.534805	0.376254	0.554026	0.449453	0.552267	-0.0604299	-0.0572073	-0.055476	-0.0592008	-0.0612195	
0.537928	0.377931	0.557542	0.451919	0.555646	-0.0605154	-0.0571379	-0.0553969	-0.0591792	-0.0612029	
0.541051	0.379608	0.561057	0.454385	0.559025	-0.0606053	-0.0570724	-0.0553122	-0.0591655	-0.0611886	
0.544131	0.381285	0.564548	0.456848	0.562404	-0.0606978	-0.0570127	-0.0552231	-0.0591591	-0.0611774	
0.547122	0.382962	0.567963	0.459172	0.565782	-0.0607905	-0.0569602	-0.0551303	-0.0591594	-0.0611704	
0.550113	0.384639	0.571378	0.461466	0.569161	-0.0608821	-0.0569158	-0.0550357	-0.0591667	-0.0611677	
0.553104	0.386316	0.574793	0.46376	0.57254	-0.0609724	-0.0568803	-0.0549395	-0.0591806	-0.0611696	
0.556095	0.387993	0.578207	0.466054	0.575918	-0.0610608	-0.056854	-0.0548417	-0.0592012	-0.0611767	
0.559086	0.38967	0.581622	0.468348	0.579225	-0.0611472	-0.0568387	-0.0547441	-0.0592275	-0.0611905	
0.562077	0.391347	0.585037	0.470643	0.582507	-0.0612302	-0.0568357	-0.0546491	-0.0592582	-0.0612122	
0.565068	0.393024	0.588451	0.472937	0.585789	-0.061308	-0.0568447	-0.0545574	-0.0592909	-0.0612424	
0.568059	0.394701	0.591866	0.475231	0.589071	-0.06138	-0.0568651	-0.0544693	-0.0593228	-0.0612818	
0.571049	0.396378	0.595281	0.477525	0.592353	-0.0614461	-0.056897	-0.0543847	-0.0593526	-0.0613308	
0.57404	0.398055	0.598669	0.479819	0.595635	-0.0615059	-0.0569397	-0.0543053	-0.0593798	-0.0613899	
0.577007	0.399732	0.60181	0.482114	0.598916	-0.0615588	-0.0569912	-0.0542312	-0.0594045	-0.0614587	
0.579943	0.401409	0.604936	0.484408	0.602198	-0.0616046	-0.0570493	-0.0541596	-0.059427	-0.0615352	
0.582879	0.402939	0.608062	0.486702	0.60548	-0.0616427	-0.0571123	-0.0540889	-0.0594472	-0.061618	
0.585816	0.404243	0.611188	0.488996	0.608762	-0.0616723	-0.0571778	-0.0540181	-0.0594656	-0.0617064	
0.588752	0.405547	0.614313	0.49129	0.611966	-0.0616936	-0.0572431	-0.0539459	-0.0594818	-0.0617994	
0.591688	0.40685	0.617439	0.493501	0.615119	-0.0617086	-0.0573059	-0.0538721	-0.0594948	-0.0618957	
0.594624	0.408154	0.620565	0.495563	0.618273	-0.0617182	-0.0573653	-0.0537962	-0.0595032	-0.061994	
0.59756	0.409457	0.62369	0.497626	0.621426	-0.0617221	-0.0574203	-0.0537185	-0.0595065	-0.0620942	
0.600496	0.410761	0.626816	0.499688	0.624579	-0.061721	-0.05747	-0.0536408	-0.059505	-0.0621964	
