lap4_30_samp	lap4_31_samp	lap4_32_samp	lap4_33_samp	lap4_34_samp	rp2529	rp3548	cur4_30_samp	cur4_31_samp	cur4_32_samp	cur4_33_samp	cur4_34_samp	rp5463	lap4_49_samp	lap4_50_samp	lap4_51_samp	lap4_52_samp	lap4_53_samp	cur4_49_samp	cur4_50_samp	cur4_51_samp	cur4_52_samp	cur4_53_samp
0.206342	0.0699956	0.0616545	0.0856156	0.133004	-0.0606979	-0.0552945	-0.000783484	-0.000781894	-0.000763121	-0.00073243	-0.000813525	-0.0542106	0.216951	0.063555	0.116252	0.0671025	0.0934701	-0.000861536	-0.000823669	-0.000635681	-0.000867709	-0.000916975
0.209244	0.0712833	0.0626178	0.0866961	0.134747	-0.0607453	-0.0557714	-0.000680919	-0.00112781	-0.000682105	-0.000969607	-0.000891613	-0.0547732	0.220295	0.0645536	0.117819	0.0683797	0.0949853	-0.000597891	-0.000873076	-0.000800947	-0.000827557	-0.000916406
0.212146	0.0725711	0.0635814	0.0877765	0.136489	-0.0606605	-0.056653	-0.00061677	-0.00089491	-0.00103892	-0.00107762	-0.000967475	-0.054792	0.223747	0.0655521	0.119386	0.0696568	0.0965004	-0.000833345	-0.000876401	-0.000824409	-0.00102945	-0.000605984
0.215048	0.0738589	0.0645448	0.0888568	0.138232	-0.0602913	-0.0572191	-0.000773268	-0.000749611	-0.00100227	-0.000915915	-0.000782912	-0.0548905	0.227209	0.0665507	0.120953	0.070934	0.0980155	-0.000727958	-0.000937662	-0.00101031	-0.000823275	-0.000976236
0.21795	0.0751466	0.0655083	0.0899374	0.139974	-0.0602791	-0.0577132	-0.000727276	-0.000824345	-0.000675002	-0.000962366	-0.00074165	-0.0556636	0.230672	0.0675493	0.12252	0.0722112	0.0995307	-0.000949654	-0.000804738	-0.000791335	-0.00079154	-0.000841959
0.220852	0.0764343	0.0664716	0.091018	0.141717	-0.0610392	-0.0583499	-0.0010089	-0.000879928	-0.0007327	-0.000839681	-0.000829405	-0.0554383	0.234134	0.068548	0.124087	0.0734883	0.101046	-0.000909571	-0.000967135	-0.000887149	-0.000794078	-0.000992459
0.223754	0.0777222	0.0674349	0.0920985	0.143459	-0.0611103	-0.0582486	-0.000965906	-0.000620832	-0.000735515	-0.00102867	-0.00090244	-0.0556957	0.237596	0.0695467	0.125654	0.0747655	0.102561	-0.00077308	-0.000494177	-0.000817669	-0.000920398	-0.00083123
0.226656	0.07901	0.0683982	0.093179	0.145202	-0.0602713	-0.0573928	-0.000699776	-0.000795031	-0.000870583	-0.000924278	-0.000892245	-0.0542135	0.241058	0.0705454	0.127221	0.0760426	0.104076	-0.00094795	-0.000711706	-0.000851424	-0.000883079	-0.000772098
0.229447	0.0802977	0.0693616	0.0942595	0.146944	-0.0606178	-0.0570834	-0.000931073	-0.000751459	-0.000798777	-0.000921629	-0.000920575	-0.0548001	0.24452	0.0715439	0.128788	0.0773198	0.105588	-0.00082466	-0.000781251	-0.00076228	-0.000855871	-0.00082812
0.232182	0.0815853	0.070325	0.09534	0.148687	-0.0611142	-0.0572686	-0.000603479	-0.000700068	-0.000768082	-0.000812618	-0.000886932	-0.0560179	0.247982	0.0725426	0.130355	0.078597	0.1071	-0.00065623	-0.000845087	-0.000848866	-0.000821529	-0.000823463
