lap3_47_samp	lap3_48_samp	lap3_49_samp	lap3_50_samp	cur3_47_samp	cur3_48_samp	cur3_49_samp	cur3_50_samp	rp2
0.198055	0.210205	0.211207	0.130698	-0.00145189	-0.00129258	-0.00141585	-0.00124131	-0.0583258
0.199832	0.211987	0.213259	0.132043	-0.00136473	-0.00139666	-0.00137996	-0.00136548	-0.058189
0.20161	0.21377	0.215311	0.133388	-0.00151443	-0.00142638	-0.00158929	-0.00119498	-0.0581153
0.203387	0.215553	0.217362	0.134733	-0.00131105	-0.00127745	-0.00142888	-0.00136027	-0.0579375
0.205164	0.217335	0.219414	0.136079	-0.00135552	-0.00136668	-0.00151523	-0.00135518	-0.0576352
0.206941	0.219118	0.221466	0.137424	-0.00142203	-0.0014369	-0.00134758	-0.00119948	-0.057321
0.208706	0.220966	0.2236	0.138769	-0.00138217	-0.0013776	-0.00140619	-0.0013337	-0.0570965
0.210471	0.222852	0.225742	0.140114	-0.00131916	-0.00148001	-0.00126459	-0.00131586	-0.0569415
0.212237	0.224739	0.227883	0.141459	-0.00136983	-0.00143381	-0.00139178	-0.00140189	-0.0567439
0.214002	0.226626	0.230025	0.142804	-0.00134901	-0.00134638	-0.00145111	-0.00120109	-0.0564394
0.215767	0.228512	0.232167	0.144224	-0.00135643	-0.00132658	-0.00146287	-0.00128404	-0.0561197
0.217532	0.230399	0.234309	0.145689	-0.00156265	-0.00140625	-0.00129173	-0.00149962	-0.0559602
0.219298	0.232285	0.236451	0.147153	-0.00133623	-0.00127602	-0.00133011	-0.00152432	-0.0560152
0.221063	0.234172	0.238593	0.148619	-0.00137089	-0.0013839	-0.00132857	-0.00135607	-0.0561147
0.222828	0.236059	0.240735	0.150084	-0.00147722	-0.00144685	-0.001437	-0.00160721	-0.0559933
0.224594	0.237945	0.242877	0.151549	-0.00132049	-0.00153565	-0.00130652	-0.00114944	-0.0555599
0.226359	0.239832	0.245019	0.153014	-0.0013247	-0.0013774	-0.00136393	-0.00139739	-0.0549863
0.228124	0.241719	0.24716	0.154479	-0.00130215	-0.00123242	-0.0012818	-0.00131814	-0.0545364
0.229889	0.243605	0.249302	0.155944	-0.00109067	-0.00136986	-0.0014195	-0.00133112	-0.0543431
0.231654	0.245492	0.251444	0.157409	-0.00137811	-0.00117433	-0.00136149	-0.00140339	-0.0543235
0.23342	0.247379	0.253587	0.158874	-0.00130701	-0.00121002	-0.00135764	-0.00136637	-0.0543129
