lap2_5_samp	lap2_6_samp	lap2_7_samp	lap2_8_samp	lap2_9_samp	rp1728	cur2_5_samp	cur2_6_samp	cur2_7_samp	cur2_8_samp	cur2_9_samp	rp3655	lap2_29_samp	lap2_30_samp	lap2_31_samp	lap2_32_samp	lap2_33_samp	cur2_29_samp	cur2_30_samp	cur2_31_samp	cur2_32_samp	cur2_33_samp
0.20106	0.14447	0.176581	0.147396	0.12568	-0.0558828	-0.000720327	-0.000595457	-0.000571158	-0.000718597	-0.000610495	-0.0543598	0.188207	0.191799	0.145719	0.176975	0.174514	-0.000304026	-0.00080199	-0.000649352	-0.000452656	-0.000432476
0.205871	0.14749	0.180089	0.150495	0.127993	-0.0561154	-0.0008455	-0.000760643	-0.000734946	-0.000542806	-0.000703035	-0.0540061	0.192269	0.195661	0.148652	0.180358	0.177956	-0.000441573	-0.000401605	-0.000562946	-0.000722531	-0.000526707
0.210682	0.150511	0.183596	0.153595	0.130307	-0.0555791	-0.000569315	-0.000734628	-0.000379282	-0.000598282	-0.000381388	-0.0537903	0.196332	0.199523	0.15154	0.1837	0.181397	-0.000590112	-0.000595196	-0.000602114	-0.000918974	-0.000592374
0.215493	0.153532	0.187104	0.156694	0.13262	-0.0548952	-0.000576611	-0.000624121	-0.00043423	-0.000652985	-0.000476871	-0.0540744	0.200394	0.203385	0.154421	0.186957	0.184839	-0.000572662	-0.000557548	-0.000587413	-0.000664987	-0.000502587
0.220304	0.156553	0.190612	0.159796	0.134934	-0.054721	-0.000499396	-0.000438309	-0.000548171	-0.000662861	-0.000400575	-0.0544361	0.204456	0.207247	0.157302	0.190214	0.188281	-0.000493473	-0.000746479	-0.000747204	-0.000500955	-0.000519989
0.22513	0.159573	0.19412	0.1629	0.137252	-0.05464	-0.000403261	-0.000616676	-0.000717823	-0.000614096	-0.000578734	-0.0545929	0.208519	0.211109	0.160183	0.193472	0.191709	-0.000727648	-0.000658422	-0.000639584	-0.000438763	-0.000633658
0.230028	0.162543	0.197628	0.166005	0.13957	-0.0548622	-0.000344221	-0.000627658	-0.000635503	-0.000605188	-0.000696401	-0.0545381	0.212627	0.214971	0.163065	0.196729	0.19494	-0.000699643	-0.00088314	-0.00063251	-0.000813307	-0.000568316
0.234927	0.16547	0.201156	0.169109	0.141888	-0.054632	-0.000751844	-0.000504394	-0.000649021	-0.000556469	-0.000465297	-0.0543635	0.216759	0.21882	0.165946	0.199986	0.198153	-0.000590027	-0.000659093	-0.000551439	-0.000722351	-0.000582104
0.239827	0.168397	0.20469	0.172213	0.144206	-0.053855	-0.000559965	-0.000492763	-0.000452224	-0.00065767	-0.000738085	-0.0546663	0.220891	0.222644	0.168827	0.203243	0.201365	-0.000539022	-0.000596986	-0.000535041	-0.000638151	-0.000661456
0.244726	0.171325	0.208224	0.175317	0.146524	-0.0540533	-0.000762876	-0.00050864	-0.000708546	-0.000281833	-0.000588504	-0.055466	0.225023	0.226467	0.171708	0.2065	0.204577	-0.000734191	-0.000684357	-0.00055007	-0.000753851	-0.000672482
0.249626	0.174252	0.211758	0.178422	0.148842	-0.0539995	-0.00060999	-0.000484333	-0.000693822	-0.000473427	-0.000562628	-0.056086	0.229155	0.23029	0.174589	0.209757	0.20779	-0.000627856	-0.000666846	-0.000800499	-0.000765152	-0.000613116
0.254526	0.177179	0.215292	0.181526	0.15116	-0.053847	-0.000498054	-0.000676577	-0.000538443	-0.000825004	-0.000624478	-0.0561701	0.233287	0.234114	0.17747	0.213015	0.211002	-0.000550224	-0.000619179	-0.00066465	-0.000790112	-0.000713547
0.259485	0.180107	0.218827	0.18463	0.153478	-0.0545772	-0.000761345	-0.000917821	-0.000520722	-0.000552799	-0.000598696	-0.0562487	0.237418	0.237937	0.180351	0.216268	0.214215	-0.000607083	-0.000447503	-0.000647943	-0.000603702	-0.000509089
0.264467	0.183034	0.222361	0.187734	0.155797	-0.0545829	-0.000794185	-0.000730641	-0.000590163	-0.000415092	-0.000456564	-0.0564693	0.241561	0.24176	0.183209	0.219353	0.217427	-0.000631635	-0.000497802	-0.000514954	-0.000348887	-0.000557018
0.26945	0.185961	0.225895	0.190877	0.158115	-0.0547177	-0.000537346	-0.000315377	-0.000456777	-0.000452413	-0.000457171	-0.0565555	0.245777	0.245584	0.186054	0.222401	0.220639	-0.000736379	-0.000719861	-0.000765507	-0.000478493	-0.000560152
0.274432	0.188888	0.229429	0.194054	0.160433	-0.0548355	-0.00058527	-0.000836119	-0.000691962	-0.000772459	-0.000721005	-0.0565695	0.249997	0.249406	0.188899	0.225449	0.223851	-0.000450064	-0.00062404	-0.000546347	-0.000573129	-0.000605274
0.279414	0.191816	0.232919	0.197231	0.162751	-0.0546421	-0.000531479	-0.000678142	-0.000602822	-0.00043739	-0.000716509	-0.0571761	0.254216	0.253207	0.191744	0.228497	0.226982	-0.000533256	-0.000425507	-0.000499806	-0.000475546	-0.000684471
0.284396	0.194738	0.236363	0.200408	0.165069	-0.0547857	-0.000714026	-0.000654581	-0.000737996	-0.0004664	-0.00073529	-0.057779	0.258435	0.257005	0.194589	0.231545	0.230039	-0.0005827	-0.00061196	-0.000712097	-0.000488271	-0.000517405
