lap2_17_samp	lap2_18_samp	lap2_19_samp	lap2_20_samp	lap2_21_samp	lap2_22_samp	lap2_23_samp	cur2_17_samp	cur2_18_samp	cur2_19_samp	cur2_20_samp	cur2_21_samp	cur2_22_samp	cur2_23_samp	rp24332
0.0893942	0.159755	0.182397	0.160863	0.221325	0.178997	0.0929848	-0.000729785	-0.000786704	-0.000484326	-0.000780294	-0.000591789	-0.000866011	-0.000599633	-0.0603939
0.0905481	0.162229	0.185161	0.163358	0.224605	0.181777	0.0942358	-0.000534229	-0.000370414	-0.00056564	-0.000936308	-0.000403897	-0.000525535	-0.000466933	-0.0604049
0.0917019	0.164628	0.187925	0.165853	0.227885	0.184556	0.0955157	-0.000511573	-0.000855924	-0.000466533	-0.000765096	-0.000653264	-0.000572738	-0.000593928	-0.0603462
0.0928557	0.167027	0.19069	0.168355	0.231166	0.187336	0.0967955	-0.000606028	-0.00077055	-0.000615294	-0.00031904	-0.000723492	-0.000476294	-0.000596314	-0.0601035
0.0940093	0.169426	0.193454	0.170861	0.234446	0.190115	0.0980753	-0.00104801	-0.000438751	-0.000723549	-0.000689278	-0.000930698	-0.000806518	-0.000635312	-0.0600076
0.0951632	0.171825	0.196208	0.173367	0.237726	0.192895	0.0993551	-0.000503244	-0.000823972	-0.000767064	-0.000728951	-0.000678758	-0.000668688	-0.000529243	-0.0600449
0.0963169	0.174224	0.198861	0.175873	0.241	0.195675	0.100635	-0.000519568	-0.000719742	-0.000261611	-0.000561991	-0.000687473	-0.000620811	-0.00115968	-0.0597987
0.0974707	0.176623	0.201513	0.178379	0.244272	0.198454	0.101915	-0.000547507	-0.000527327	-0.00044206	-0.000463761	-0.000734108	-0.00071554	-0.000854565	-0.059537
0.0986245	0.179022	0.204165	0.180885	0.247544	0.201234	0.103195	-0.000914716	-0.000630959	-0.000523021	-0.000759167	-0.000717016	-0.000863555	-0.000875164	-0.0596804
0.0997784	0.181421	0.206817	0.183391	0.250816	0.204013	0.104474	-0.000615936	-0.000729494	-0.000749723	-0.000849559	-0.000554236	-0.000465924	-0.000222087	-0.0599528
0.100932	0.18382	0.209469	0.185897	0.254088	0.206793	0.105754	-0.000449074	-0.000862173	-0.000685728	-0.000395096	-0.000467809	-0.000816434	-0.000634392	-0.0600314
0.102086	0.186219	0.212121	0.188403	0.25736	0.209576	0.107034	-0.000667556	-0.000649973	-0.000644122	-0.000846673	-0.000566166	-0.000803355	-0.000570213	-0.0595225
0.10324	0.188618	0.214774	0.190909	0.260632	0.212362	0.108314	-0.000700066	-0.00058357	-0.000590275	-0.000590438	-0.000893867	-0.00057023	-0.000690367	-0.0591094
0.104394	0.191017	0.217426	0.193415	0.263904	0.215147	0.109594	-0.000558013	-0.000515408	-0.000765035	-0.000752535	-0.000628356	-0.000732669	-0.000878442	-0.0591459
0.105547	0.193415	0.220078	0.195921	0.267176	0.217933	0.110874	-0.000426732	-0.000558306	-0.000727125	-0.000891766	-0.000570834	-0.000911283	-0.000746555	-0.0591853
0.106701	0.195778	0.22273	0.198427	0.27045	0.220718	0.112154	-0.000816161	-0.000841959	-0.000776102	-0.000706784	-0.000524033	-0.000363576	-0.000783392	-0.0593345
0.107855	0.198083	0.225382	0.200923	0.273754	0.223504	0.113434	-0.000722843	-0.000439717	-0.000537954	-0.000369776	-0.00054121	-0.000891138	-0.000516268	-0.0592202
0.109009	0.200389	0.228035	0.203416	0.277058	0.226289	0.114714	-0.000748443	-0.000720229	-0.000585413	-0.000873704	-0.000839771	-0.000645972	-0.00065774	-0.0587754
0.110163	0.202694	0.230637	0.20591	0.280363	0.229075	0.115993	-0.000532027	-0.000624411	-0.000585645	-0.000492611	-0.000775639	-0.000462507	-0.000647142	-0.0588415
0.111316	0.205	0.233143	0.208403	0.283667	0.23186	0.117273	-0.000886603	-0.000636051	-0.000271298	-0.000388234	-0.00072775	-0.000634743	-0.000147304	-0.0592838
0.11247	0.207305	0.23565	0.210896	0.286971	0.234646	0.118553	-0.000238789	-0.000669198	-0.000435574	-0.000677129	-0.000552542	-0.000627157	-0.000590846	-0.058886
0.11352	0.209611	0.238157	0.21339	0.290275	0.237431	0.119833	-0.000838344	-0.000582836	-0.000631158	-0.000709638	-0.000756377	-0.000738238	-0.000506031	-0.0583976
