lap4_11_samp	lap4_12_samp	lap4_13_samp	lap4_14_samp	lap4_15_samp	lap4_16_samp	rp711	rp1727	cur4_12_samp	cur4_13_samp	cur4_14_samp	cur4_15_samp	cur4_16_samp
0.359725	0.356117	0.345712	0.36579	0.409343	0.411344			-0.000988375	-0.000856825	-0.000831161	-0.000879752	-0.000677046
0.362701	0.359194	0.348445	0.368695	0.412549	0.41466			-0.000919538	-0.000923808	-0.000790582	-0.000882226	-0.00109783
0.365676	0.362271	0.351176	0.371601	0.415756	0.417943			-0.00081636	-0.000904031	-0.000929972	-0.000848848	-0.000780226
0.368652	0.365347	0.353908	0.374506	0.418963	0.421226			-0.000965966	-0.000853029	-0.000891435	-0.000483008	-0.000754588
0.371627	0.368423	0.356639	0.377411	0.422169	0.424509			-0.000803182	-0.000981896	-0.000806189	-0.000887729	-0.00106458
0.374603	0.371456	0.359371	0.380315	0.425282	0.427793			-0.000850629	-0.000798227	-0.000980095	-0.000924116	-0.00082077
0.377578	0.374475	0.362103	0.383059	0.428363	0.431076			-0.000809435	-0.00103976	-0.000750225	-0.0008198	-0.000839696
0.380554	0.377493	0.364834	0.385756	0.431443	0.434359			-0.000993219	-0.000955905	-0.000824243	-0.000979749	-0.000908092
0.383528	0.380512	0.367566	0.388454	0.434523	0.437642			-0.000843731	-0.00100301	-0.000844534	-0.000667964	-0.00095985
0.386484	0.38353	0.370298	0.391151	0.437603	0.440925			-0.000984894	-0.000895051	-0.00104513	-0.000821908	-0.000926271
0.389437	0.386549	0.373029	0.393848	0.440683	0.444208			-0.00101693	-0.000913735	-0.00102609	-0.00071676	-0.000998421
0.392391	0.389567	0.375761	0.396546	0.443764	0.447426			-0.00113521	-0.000942366	-0.000959098	-0.000921889	-0.000846837
0.395344	0.392586	0.378485	0.399243	0.446844	0.450561			-0.000719967	-0.000920003	-0.00091327	-0.000997818	-0.000888269
0.398298	0.395604	0.381113	0.40194	0.449924	0.453696			-0.000809637	-0.00111679	-0.000863772	-0.00101098	-0.000776653
0.401251	0.398623	0.383733	0.404638	0.453004	0.456831			-0.00109753	-0.00114193	-0.000840354	-0.000755457	-0.000930765
0.404205	0.401641	0.386353	0.407335	0.456083	0.459965			-0.000894336	-0.000920428	-0.000831939	-0.000984916	-0.000862635
0.407159	0.404567	0.388973	0.410032	0.459032	0.4631			-0.000992307	-0.0009226	-0.000771409	-0.00114193	-0.000963847
0.410112	0.40745	0.391593	0.41273	0.461944	0.466235			-0.000831634	-0.000934808	-0.00098312	-0.000872923	-0.000942168
0.413066	0.410334	0.394212	0.415427	0.464856	0.469369			-0.000767339	-0.00090664	-0.000747432	-0.000891217	-0.000909562
0.416019	0.413217	0.396832	0.41798	0.467767	0.472504			-0.000967848	-0.00101643	-0.000912778	-0.000857953	-0.00087434
0.418896	0.416101	0.399452	0.420386	0.470679	0.475639			-0.000760772	-0.000967293	-0.00105473	-0.000960901	-0.00100223
0.421752	0.418984	0.402071	0.422792	0.473591	0.478773			-0.000865596	-0.000819185	-0.000938472	-0.00100567	-0.0007836
0.424607	0.421868	0.404691	0.425198	0.476503	0.481803			-0.000844323	-0.000691658	-0.000936738	-0.000858634	-0.00095857
0.427463	0.424751	0.407311	0.427604	0.479414	0.484728			-0.000905882	-0.000996704	-0.000886504	-0.000897208	-0.00100929
0.430318	0.427634	0.40993	0.43001	0.482326	0.487653			-0.000964894	-0.000786173	-0.000829039	-0.000883668	-0.000927672
0.433174	0.430518	0.41255	0.432416	0.485238	0.490577			-0.000904476	-0.00103815	-0.000755095	-0.000780681	-0.000645336
0.436029	0.433401	0.415031	0.434821	0.48815	0.493502			-0.000981712	-0.000919122	-0.000890809	-0.000956131	-0.00100427
0.438885	0.436285	0.417418	0.437227	0.491058	0.496427			-0.000676964	-0.000828496	-0.000977887	-0.000916644	-0.000999848
0.44174	0.439029	0.419805	0.439633	0.493775	0.499351			-0.0010375	-0.000901315	-0.000908391	-0.000910645	-0.000944807
0.444596	0.441665	0.422191	0.442039	0.496446	0.502276			-0.000906326	-0.000856137	-0.000838686	-0.000827728	-0.000843875
0.447452	0.444301	0.424577	0.444445	0.499118	0.505201			-0.000898764	-0.000782491	-0.000815569	-0.00101729	-0.000778316
0.450306	0.446937	0.426964	0.446851	0.501789	0.508125			-0.00105273	-0.000978727	-0.000941143	-0.0009656	-0.000868051
0.45301	0.449573	0.42935	0.449256	0.50446	0.51105			-0.000959402	-0.000739484	-0.00111146	-0.000806579	-0.00107558
0.45567	0.452209	0.431737	0.451662	0.507132	0.513974			-0.000783329	-0.000695906	-0.000903087	-0.000878954	-0.000734225
0.45833	0.454845	0.434123	0.454003	0.509803	0.516768			-0.000919287	-0.000901849	-0.000965964	-0.000917661	-0.000955823
0.460989	0.457482	0.43651	0.456094	0.512474	0.519428			-0.000826061	-0.000942754	-0.00110253	-0.000758575	-0.000985998
0.463649	0.460118	0.438896	0.458182	0.515145	0.522087			-0.000793812	-0.00079993	-0.000618674	-0.000925691	-0.000992818
0.466309	0.462754	0.441283	0.46027	0.517817	0.524746			-0.000977474	-0.000831948	-0.00100422	-0.000985629	-0.00098067
0.468968	0.465389	0.443669	0.462357	0.520488	0.527405			-0.00100164	-0.00103691	-0.000792675	-0.000735127	-0.000811346
0.471628	0.468025	0.446056	0.464445	0.523159	0.530064			-0.000930176	-0.00124958	-0.000760713	-0.000843413	-0.000987792
0.474287	0.470661	0.448442	0.466533	0.525831	0.532723			-0.000912693	-0.000914451	-0.000855844	-0.00111249	-0.000894186
0.476947	0.473265	0.450813	0.46862	0.528389	0.535382			-0.000920359	-0.000858747	-0.000909793	-0.000783074	-0.00103707
0.479607	0.475645	0.45289	0.470708	0.530766	0.538041			-0.00109636	-0.000807553	-0.000885967	-0.000946289	-0.000778175
0.482266	0.478016	0.454931	0.472796	0.533142	0.5407			-0.00104143	-0.000953558	-0.000909794	-0.000848525	-0.000927047
0.484925	0.480387	0.456972	0.474883	0.535518	0.543359			-0.000979145	-0.000775969	-0.000957782	-0.000774599	-0.000945719
0.487429	0.482758	0.459013	0.476971	0.537895	0.546018			-0.000902422	-0.00104856	-0.000889808	-0.000957706	-0.000748307
0.489887	0.485128	0.461054	0.479059	0.540271	0.548678			-0.000869484	-0.000808569	-0.000798401	-0.000927129	-0.000880829
0.492344	0.487499	0.463095	0.481146	0.542647	0.551327			-0.000609019	-0.000814067	-0.000962134	-0.000941599	-0.000869269
0.494802	0.48987	0.465136	0.483234	0.545024	0.553719			-0.00102548	-0.000846179	-0.000928643	-0.000892332	-0.000949334
0.497259	0.492241	0.467178	0.485322	0.5474	0.556071			-0.00081794	-0.000770465	-0.000961456	-0.000778066	-0.000740047
0.499716	0.494612	0.469219	0.487409	0.549776	0.558423			-0.00105307	-0.000962291	-0.000810622	-0.000878917	-0.000878551
0.502174	0.496982	0.47126	0.489497	0.552152	0.560775			-0.000814849	-0.000679574	-0.000778511	-0.000975618	-0.00106114
0.504632	0.499353	0.473301	0.491584	0.554529	0.563128			-0.000875872	-0.000977431	-0.000919368	-0.00113337	-0.00083387
0.50709	0.501724	0.475342	0.493672	0.556905	0.565479			-0.000862083	-0.000952328	-0.000741534	-0.000890942	-0.00107714
